book	chapter	verse	text	usfm
Jer	1	1	The words of Jeremiah the son of Hilkiah, one of the priests who were in Anathoth in the land of Benjamin.	JER
Jer	1	2	The LORD’s word came to him in the days of Josiah the son of Amon, king of Judah, in the thirteenth year of his reign.	JER
Jer	1	3	It came also in the days of Jehoiakim the son of Josiah, king of Judah, to the end of the eleventh year of Zedekiah, the son of Josiah, king of Judah, to the carrying away of Jerusalem captive in the fifth month.	JER
Jer	1	4	Now the LORD’s word came to me, saying,	JER
Jer	1	5	“Before I formed you in the womb, I knew you. Before you were born, I sanctified you. I have appointed you a prophet to the nations.”	JER
Jer	1	6	Then I said, “Ah, Lord GOD! Behold, I don’t know how to speak; for I am a child.”	JER
Jer	1	7	But the LORD said to me, “Don’t say, ‘I am a child;’ for you must go to whomever I send you, and you must say whatever I command you.	JER
Jer	1	8	Don’t be afraid because of them, for I am with you to rescue you,” says the LORD.	JER
Jer	1	9	Then the LORD stretched out his hand and touched my mouth. Then the LORD said to me, “Behold, I have put my words in your mouth.	JER
Jer	1	10	Behold, I have today set you over the nations and over the kingdoms, to uproot and to tear down, to destroy and to overthrow, to build and to plant.”	JER
Jer	1	11	Moreover the LORD’s word came to me, saying, “Jeremiah, what do you see?” I said, “I see a branch of an almond tree.”	JER
Jer	1	12	Then the LORD said to me, “You have seen well; for I watch over my word to perform it.”	JER
Jer	1	13	The LORD’s word came to me the second time, saying, “What do you see?” I said, “I see a boiling cauldron; and it is tipping away from the north.”	JER
Jer	1	14	Then the LORD said to me, “Out of the north, evil will break out on all the inhabitants of the land.	JER
Jer	1	15	For behold, I will call all the families of the kingdoms of the north,” says the LORD. “They will come, and they will each set his throne at the entrance of the gates of Jerusalem, and against all its walls all around, and against all the cities of Judah.	JER
Jer	1	16	I will utter my judgments against them concerning all their wickedness, in that they have forsaken me, and have burned incense to other gods, and worshiped the works of their own hands.	JER
Jer	1	17	“You therefore put your belt on your waist, arise, and say to them all that I command you. Don’t be dismayed at them, lest I dismay you before them.	JER
Jer	1	18	For behold, I have made you today a fortified city, an iron pillar, and bronze walls against the whole land—against the kings of Judah, against its princes, against its priests, and against the people of the land.	JER
Jer	1	19	They will fight against you, but they will not prevail against you; for I am with you”, says the LORD, “to rescue you.”	JER
Jer	2	1	The LORD’s word came to me, saying,	JER
Jer	2	2	“Go and proclaim in the ears of Jerusalem, saying, ‘The LORD says, “I remember for you the kindness of your youth, your love as a bride, how you went after me in the wilderness, in a land that was not sown.	JER
Jer	2	3	Israel was holiness to the LORD, the first fruits of his increase. All who devour him will be held guilty. Evil will come on them,”’ says the LORD.”	JER
Jer	2	4	Hear the LORD’s word, O house of Jacob, and all the families of the house of Israel!	JER
Jer	2	5	The LORD says, “What unrighteousness have your fathers found in me, that they have gone far from me, and have walked after worthless vanity, and have become worthless?	JER
Jer	2	6	They didn’t say, ‘Where is the LORD who brought us up out of the land of Egypt, who led us through the wilderness, through a land of deserts and of pits, through a land of drought and of the shadow of death, through a land that no one passed through, and where no man lived?’	JER
Jer	2	7	I brought you into a plentiful land to eat its fruit and its goodness; but when you entered, you defiled my land, and made my heritage an abomination.	JER
Jer	2	8	The priests didn’t say, ‘Where is the LORD?’ and those who handle the law didn’t know me. The rulers also transgressed against me, and the prophets prophesied by Baal and followed things that do not profit.	JER
Jer	2	9	“Therefore I will yet contend with you,” says the LORD, “and I will contend with your children’s children.	JER
Jer	2	10	For pass over to the islands of Kittim, and see. Send to Kedar, and consider diligently, and see if there has been such a thing.	JER
Jer	2	11	Has a nation changed its gods, which really are no gods? But my people have changed their glory for that which doesn’t profit.	JER
Jer	2	12	“Be astonished, you heavens, at this and be horribly afraid. Be very desolate,” says the LORD.	JER
Jer	2	13	“For my people have committed two evils: they have forsaken me, the spring of living waters, and cut out cisterns for themselves: broken cisterns that can’t hold water.	JER
Jer	2	14	Is Israel a slave? Is he born into slavery? Why has he become a captive?	JER
Jer	2	15	The young lions have roared at him and raised their voices. They have made his land waste. His cities are burned up, without inhabitant.	JER
Jer	2	16	The children also of Memphis and Tahpanhes have broken the crown of your head.	JER
Jer	2	17	“Haven’t you brought this on yourself, in that you have forsaken the LORD your God, when he led you by the way?	JER
Jer	2	18	Now what do you gain by going to Egypt, to drink the waters of the Shihor? Or why do you go on the way to Assyria, to drink the waters of the River?	JER
Jer	2	19	“Your own wickedness will correct you, and your backsliding will rebuke you. Know therefore and see that it is an evil and bitter thing, that you have forsaken the LORD your God, and that my fear is not in you,” says the Lord, GOD of Armies.	JER
