# The deterministic review target for the independent source audit.
# Built by the correction lane of 2026-08-27; see
# guidance/scripture-chronology.md and PROJECT-WORK.md for the audit scope.
#
# One row per FACTUAL CLAIM - a subject plus the index of one of its dates -
# never per binding, so a claim reused by a thousand verses is reviewed once.
#
# SELECTION RULE, reproducible from this header and the corpus AS AUDITED.
# The corpus it selects from is the one at commit 2330d63a5, which is the
# commit the cold audit reviewed. Later lanes withdrew claims and changed
# dispositions, so the rule does not reproduce against a later HEAD, and a
# reviewer regenerating this list must read the corpus at that commit:
#   git show 2330d63a5:src/sources/chronology/<file>.yaml
#   pool = every authored claim (458 at that commit) MINUS the
#     complete-inspection set below. The exclusion needed to reproduce this
#     file is exactly: precision == 'duration', OR the claim's subject carries
#     a `relation: historical-setting` binding whose scope is a Psalm in
#     bindings.yaml, OR a non-null `derivation`, OR a unit scope naming a
#     non-vulgate system. That removes 57 claims and leaves a pool of 401.
#   seed = scripture-chronology-cold-audit-2026-08-27
#   strata = (precision, disposition)
#   within a stratum, order by sha256(seed + id), then round-robin the
#   strata in sorted order until 72 claims are taken.
#   Relative-precision claims are NOT excluded: 12 of the 72 rows below are
#   `relative`, so "high-risk classes" must never be read as the whole
#   duration/relative family.
#
# COMPLETE-INSPECTION SET, 57 claims, excluded from the sample because they
# are inspected completely rather than sampled. Each class is an executable
# predicate over the tracked corpus, and none of its members appears below:
#   47  precision == 'duration'
#    9  the subject carries a `relation: historical-setting` binding on a
#       Psalm scope in bindings.yaml - Ps.30, Ps.62 and Ps.70, Ps.88,
#       Ps.7 and Ps.17, Ps.141, Ps.136
#    2  a non-null `derivation` on the claim
#    1  a unit whose scope names a non-vulgate `system` (the Greek
#       Ecclesiasticus)
#   The four class sizes total 59, not 57, because two claims belong to two
#   classes: israel.monarchy.saul-reign#0 and israel.exile.seventy-years#0 are
#   `duration` claims AND Psalm historical-settings. The union is 57 distinct
#   claims, which is the figure PROJECT-WORK.md states.
#
# Nothing here was hand-picked. A reviewer can regenerate the identical
# list, which is the point: a sample an author could steer is not a sample.
id	kind	subject	claim	precision	disposition	sources
event:israel.monarchy.temple-begun#4	event	israel.monarchy.temple-begun	4	approximate-year	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04
event:apostolic-age.saint-paul-sent-to-rome#0	event	apostolic-age.saint-paul-sent-to-rome	0	approximate-year	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8
unit:composition.third-book-of-kings#0	unit	composition.third-book-of-kings	0	approximate-year	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08652a-189e1a8f
event:apostolic-age.arrival-of-cestius-gallus-at-jerusalem#0	event	apostolic-age.arrival-of-cestius-gallus-at-jerusalem	0	day	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662
event:apostolic-age.saint-paul-second-visit-to-jerusalem#1	event	apostolic-age.saint-paul-second-visit-to-jerusalem	1	interval	alternate	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8
unit:composition.first-epistle-to-the-thessalonians#0	unit	composition.first-epistle-to-the-thessalonians	0	interval	disputed	artifact.catholic-encyclopedia.volume-14.new-york-1912.newadvent-14629d-95947a74
unit:composition.book-of-habacuc#0	unit	composition.book-of-habacuc	0	interval	preferred	artifact.catholic-encyclopedia.volume-7.new-york-1910.newadvent-07097a-8ad7be64
event:life-of-christ.last-supper#0	event	life-of-christ.last-supper	0	month-day	disputed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08377a-f81e2c23
event:israel.restoration.strange-wives-assembly#0	event	israel.restoration.strange-wives-assembly	0	month-day	preferred	bible:douay-rheims:1Esd.10.9
unit:composition.book-of-osee#1	unit	composition.book-of-osee	1	range	alternate	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11337a-2a862b12
event:apostolic-age.saint-paul-third-mission#1	event	apostolic-age.saint-paul-third-mission	1	range	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04
event:apostolic-age.saint-paul-apostolate-at-antioch#0	event	apostolic-age.saint-paul-apostolate-at-antioch	0	range	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8
event:life-of-christ.finding-in-the-temple#1	event	life-of-christ.finding-in-the-temple	1	relative	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08377a-f81e2c23
unit:composition.second-epistle-to-the-thessalonians#0	unit	composition.second-epistle-to-the-thessalonians	0	relative	disputed	artifact.catholic-encyclopedia.volume-14.new-york-1912.newadvent-14629d-95947a74
event:life-of-christ.finding-in-the-temple#0	event	life-of-christ.finding-in-the-temple	0	relative	preferred	bible:douay-rheims:Luke.2.42
event:israel.restoration.second-temple-completed#1	event	israel.restoration.second-temple-completed	1	year	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04
event:apostolic-age.martyrdom-of-saint-peter#1	event	apostolic-age.martyrdom-of-saint-peter	1	year	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1
event:israel.monarchy.absalom-defeat#0	event	israel.monarchy.absalom-defeat	0	year	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.second-kings-18-absalom-defeat-chronology
event:israel.monarchy.temple-begun#3	event	israel.monarchy.temple-begun	3	approximate-year	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c
unit:composition.gospel-of-john#0	unit	composition.gospel-of-john	0	approximate-year	disputed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08438a-7620a92c
event:apostolic-age.second-arrest-of-saint-paul#0	event	apostolic-age.second-arrest-of-saint-paul	0	approximate-year	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8
event:apostolic-age.exile-of-saint-john-to-patmos#1	event	apostolic-age.exile-of-saint-john-to-patmos	1	interval	alternate	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01594b-7f47696f
unit:composition.gospel-of-matthew#2	unit	composition.gospel-of-matthew	2	interval	disputed	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10057a-e7b6ccef
