book	chapter	verse	text	usfm
Cant	1	1	The Song of songs, which is Solomon’s.	SNG
Cant	1	2	Let him kiss me with the kisses of his mouth: for thy love is better than wine.	SNG
Cant	1	3	Thine ointments have a goodly fragrance; thy name is as ointment poured forth; therefore do the virgins love thee.	SNG
Cant	1	4	Draw me; we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will make mention of thy love more than of wine: rightly do they love thee.	SNG
Cant	1	5	I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.	SNG
Cant	1	6	Look not upon me, because I am swarthy, because the sun hath scorched me. My mother’s sons were incensed against me, they made me keeper of the vineyards; but mine own vineyard have I not kept.	SNG
Cant	1	7	Tell me, O thou whom my soul loveth, where thou feedest thy flock, where thou makest it to rest at noon: for why should I be as one that is veiled beside the flocks of thy companions?	SNG
Cant	1	8	If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds’ tents.	SNG
Cant	1	9	I have compared thee, O my love, to a steed in Pharaoh’s chariots.	SNG
Cant	1	10	Thy cheeks are comely with plaits of hair, thy neck with strings of jewels	SNG
Cant	1	11	We will make thee plaits of gold with studs of silver.	SNG
Cant	1	12	While the king sat at his table, my spikenard sent forth its fragrance.	SNG
Cant	1	13	My beloved is unto me as a bundle of myrrh, that lieth betwixt my breasts.	SNG
Cant	1	14	My beloved is unto me as a cluster of henna-flowers in the vineyards of En-gedi.	SNG
Cant	1	15	Behold, thou art fair, my love; behold, thou art fair; thine eyes are as doves.	SNG
Cant	1	16	Behold, thou art fair, my beloved, yea, pleasant: also our couch is green.	SNG
Cant	1	17	The beams of our house are cedars, and our rafters are firs.	SNG
Cant	2	1	I AM a rose of Sharon, a lily of the valleys.	SNG
Cant	2	2	As a lily among thorns, so is my love among the daughters.	SNG
Cant	2	3	As the apple tree among the trees of the wood, so is my beloved among the sons. I sat down under his shadow with great delight, and his fruit was sweet to my taste.	SNG
Cant	2	4	He brought me to the banqueting house, and his banner over me was love.	SNG
Cant	2	5	Stay ye me with raisins, comfort me with apples: for I am sick of love.	SNG
Cant	2	6	His left hand is under my head, and his right hand doth embrace me.	SNG
Cant	2	7	I adjure you, O daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awaken love, until it please.	SNG
Cant	2	8	The voice of my beloved! behold, he cometh, leaping upon the mountains, skipping upon the hills.	SNG
Cant	2	9	My beloved is like a roe or a young hart: behold, he standeth behind our wall, he looketh in at the windows, he sheweth himself through the lattice.	SNG
Cant	2	10	My beloved spake, and said unto me, Rise up, my love, my fair one, and come away.	SNG
Cant	2	11	For, lo, the winter is past, the rain is over and gone;	SNG
Cant	2	12	The flowers appear on the earth; the time of the singing of birds is come, and the voice of the turtle is heard in our land;	SNG
Cant	2	13	The fig tree ripeneth her green figs, and the vines are in blossom, they give forth their fragrance. Arise, my love, my fair one, and come away.	SNG
Cant	2	14	O my dove, that art in the clefts of the rock, in the covert of the steep place, let me see thy countenance, let me hear thy voice: for sweet is thy voice, and thy countenance is comely.	SNG
Cant	2	15	Take us the foxes, the little foxes, that spoil the vineyards; for our vineyards are in blossom.	SNG
Cant	2	16	My beloved is mine, and I am his: he feedeth his flock among the lilies.	SNG
Cant	2	17	Until the day be cool, and the shadows flee away, turn, my beloved, and be thou like a roe or a young hart upon the mountains of Bether.	SNG
Cant	3	1	By night on my bed I sought him whom my soul loveth: I sought him, but I found him not.	SNG
Cant	3	2	I said, I will rise now, and go about the city, in the streets and in the broad ways, I will seek him whom my soul loveth: I sought him, but I found him not.	SNG
Cant	3	3	The watchmen that go about the city found me: to whom I said, Saw ye him whom my soul loveth?	SNG
Cant	3	4	It was but a little that I passed from them, when I found him whom my soul loveth: I held him, and would not let him go, until I had brought him into my mother’s house, and into the chamber of her that conceived me.	SNG
Cant	3	5	I adjure you, O daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awaken love, until it please.	SNG
Cant	3	6	Who is this that cometh up out of the wilderness like pillars of smoke, perfumed with myrrh and frankincense, with all powders of the merchant?	SNG
Cant	3	7	Behold, it is the litter of Solomon; threescore mighty men are about it, of the mighty men of Israel.	SNG
Cant	3	8	They all handle the sword, and are expert in war: every man hath his sword upon his thigh, because of fear in the night.	SNG
Cant	3	9	King Solomon made himself a palanquin of the wood of Lebanon.	SNG
Cant	3	10	He made the pillars thereof of silver, the bottom thereof of gold, the seat of it of purple, the midst thereof being paved with love, from the daughters of Jerusalem.	SNG
Cant	3	11	Go forth, O ye daughters of Zion, and behold king Solomon, with the crown wherewith his mother hath crowned him in the day of his espousals, and in the day of the gladness of his heart.	SNG
Cant	4	1	Behold, thou art fair, my love; behold, thou art fair; thine eyes are as doves behind thy veil: thy hair is as a flock of goats, that lie along the side of mount Gilead.	SNG
Cant	4	2	Thy teeth are like a flock of ewes that are newly shorn, which are come up from the washing; whereof every one hath twins, and none is bereaved among them.	SNG
Cant	4	3	Thy lips are like a thread of scarlet, and thy mouth is comely: thy temples are like a piece of a pomegranate behind thy veil.	SNG
Cant	4	4	Thy neck is like the tower of David builded for an armoury, whereon there hang a thousand bucklers, all the shields of the mighty men.	SNG
Cant	4	5	Thy two breasts are like two fawns that are twins of a roe, which feed among the lilies.	SNG
Cant	4	6	Until the day be cool, and the shadows flee away, I will get me to the mountain of myrrh, and to the hill of frankincense.	SNG
Cant	4	7	Thou art all fair, my love; and there is no spot in thee.	SNG
Cant	4	8	Come with me from Lebanon, my bride, with me from Lebanon: look from the top of Amana, from the top of Senir and Hermon, from the lions’ dens, from the mountains of the leopards.	SNG
Cant	4	9	Thou hast ravished my heart, my sister, my bride; thou hast ravished my heart with one of thine eyes, with one chain of thy neck.	SNG
Cant	4	10	How fair is thy love, my sister, my bride! how much better is thy love than wine! and the smell of thine ointments than all manner of spices!	SNG
Cant	4	11	Thy lips, O my bride, drop as the honeycomb: honey and milk are under thy tongue; and the smell of thy garments is like the smell of Lebanon.	SNG
Cant	4	12	A garden shut up is my sister, my bride; a spring shut up, a fountain sealed.	SNG
Cant	4	13	Thy shoots are an orchard of pomegranates, with precious fruits; henna with spikenard plants,	SNG
Cant	4	14	Spikenard and saffron, calamus and cinnamon, with all trees of frankincense; myrrh and aloes, with all the chief spices.	SNG
Cant	4	15	Thou art a fountain of gardens, a well of living waters, and flowing streams from Lebanon.	SNG
Cant	4	16	Awake, O north wind; and come, thou south; blow upon my garden, that the spices thereof may flow out. Let my beloved come into his garden, and eat his precious fruits.	SNG
Cant	5	1	I AM come into my garden, my sister, my bride: I have gathered my myrrh with my spice; I have eaten my honeycomb with my honey; I have drunk my wine with my milk. Eat, O friends; drink, yea, drink abundantly, O beloved.	SNG
Cant	5	2	I was asleep, but my heart waked: it is the voice of my beloved that knocketh, saying, Open to me, my sister, my love, my dove, my undefiled: for my head is filled with dew, my locks with the drops of the night.	SNG
Cant	5	3	I have put off my coat; how shall I put it on? I have washed my feet; how shall I defile them?	SNG
Cant	5	4	My beloved put in his hand by the hole of the door, and my heart was moved for him.	SNG
Cant	5	5	I rose up to open to my beloved; and my hands dropped with myrrh, and my fingers with liquid myrrh, upon the handles of the bolt.	SNG
Cant	5	6	I opened to my beloved; but my beloved had withdrawn himself, and was gone. My soul had failed me when he spake: I sought him, but I could not find him; I called him, but he gave me no answer.	SNG
Cant	5	7	The watchmen that go about the city found me, they smote me, they wounded me; the keepers of the walls took away my mantle from me.	SNG
Cant	5	8	I adjure you, O daughters of Jerusalem, if ye find my beloved, that ye tell him, that I am sick of love.	SNG
Cant	5	9	What is thy beloved more than another beloved, O thou fairest among women? what is thy beloved more than another beloved, that thou dost so adjure us?	SNG
Cant	5	10	My beloved is white and ruddy, the chiefest among ten thousand.	SNG
Cant	5	11	His head is as the most fine gold, his locks are bushy, and black as a raven.	SNG
Cant	5	12	His eyes are like doves beside the water brooks; washed with milk, and fitly set.	SNG
Cant	5	13	His cheeks are as a bed of spices, as banks of sweet herbs: his lips are as lilies, dropping liquid myrrh.	SNG
Cant	5	14	His hands are as rings of gold set with beryl: his body is as ivory work overlaid with sapphires.	SNG
Cant	5	15	His legs are as pillars of marble, set upon sockets of fine gold: his aspect is like Lebanon, excellent as the cedars.	SNG
Cant	5	16	His mouth is most sweet: yea, he is altogether lovely. This is my beloved, and this is my friend, O daughters of Jerusalem.	SNG
Cant	6	1	Whither is thy beloved gone, O thou fairest among women? whither hath thy beloved turned him, that we may seek him with thee?	SNG
Cant	6	2	My beloved is gone down to his garden, to the beds of spices, to feed in the gardens, and to gather lilies.	SNG
Cant	6	3	I am my beloved’s, and my beloved is mine: he feedeth his flock among the lilies.	SNG
Cant	6	4	Thou art beautiful, O my love, as Tirzah, comely as Jerusalem, terrible as an army with banners.	SNG
Cant	6	5	Turn away thine eyes from me, for they have overcome me. Thy hair is as a flock of goats, that lie along the side of Gilead.	SNG
Cant	6	6	Thy teeth are like a flock of ewes, which are come up from the washing; whereof every one hath twins, and none is bereaved among them.	SNG
Cant	6	7	Thy temples are like a piece of a pomegranate behind thy veil.	SNG
Cant	6	8	There are threescore queens, and fourscore concubines, and virgins without number.	SNG
Cant	6	9	My dove, my undefiled, is but one; she is the only one of her mother; she is the choice one of her that bare her. The daughters saw her, and called her blessed; yea, the queens and the concubines, and they praised her.	SNG
Cant	6	10	Who is she that looketh forth as the morning, fair as the moon, clear as the sun, terrible as an army with banners?	SNG
Cant	6	11	I went down into the garden of nuts, to see the green plants of the valley, to see whether the vine budded, and the pomegranates were in flower.	SNG
Cant	6	12	Or ever I was aware, my soul set me among the chariots of my princely people.	SNG
Cant	6	13	Return, return, O Shulammite; return, return, that we may look upon thee. Why will ye look upon the Shulammite, as upon the dance of Mahanaim?	SNG
Cant	7	1	How beautiful are thy feet in sandals, O prince’s daughter! the joints of thy thighs are like jewels, the work of the hands of a cunning workman.	SNG
Cant	7	2	Thy navel is like a round goblet, wherein no mingled wine is wanting: thy belly is like an heap of wheat set about with lilies.	SNG
Cant	7	3	Thy two breasts are like two fawns that are twins of a roe.	SNG
Cant	7	4	Thy neck is like the tower of ivory; thine eyes as the pools in Heshbon, by the gate of Bath-rabbim; thy nose is like the tower of Lebanon which looketh toward Damascus.	SNG
Cant	7	5	Thine head upon thee is like Carmel, and the hair of thine head like purple; the king is held captive in the tresses thereof.	SNG
Cant	7	6	How fair and how pleasant art thou, O love, for delights!	SNG
Cant	7	7	This thy stature is like to a palm tree, and thy breasts to clusters of grapes.	SNG
Cant	7	8	I said, I will climb up into the palm tree, I will take hold of the branches thereof: let thy breasts be as clusters of the vine, and the smell of thy breath like apples;	SNG
Cant	7	9	And thy mouth like the best wine, that goeth down smoothly for my beloved, gliding through the lips of those that are asleep.	SNG
Cant	7	10	I am my beloved’s, and his desire is toward me.	SNG
Cant	7	11	Come, my beloved, let us go forth into the field; let us lodge in the villages.	SNG
Cant	7	12	Let us get up early to the vineyards; let us see whether the vine hath budded, and its blossom be open, and the pomegranates be in flower: there will I give thee my love.	SNG
