book	chapter	verse	text	usfm
Cant	1	1	The Song of songs, which is Solomon's.	SNG
Cant	1	2	Let him kiss me with the kisses of his mouth: for thy breasts are better than wine.	SNG
Cant	1	3	And the smell of thine ointments is better than all spices: thy name is ointment poured forth; therefore do the young maidens love thee.	SNG
Cant	1	4	They have drawn thee: we will run after thee, for the smell of thine ointments: the king has brought me into his closet: let us rejoice and be glad in thee; we will love thy breasts more than wine: righteousness loves thee.	SNG
Cant	1	5	I am black, but beautiful, ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.	SNG
Cant	1	6	Look not upon me, because I am dark, because the sun has looked unfavourably upon me: my mother's sons strove with me; they made me keeper in the vineyards; I have not kept my own vineyard.	SNG
Cant	1	7	Tell me, thou whom my soul loves, where thou tendest thy flock, where thou causest them to rest at noon, lest I become as one that is veiled by the flocks of thy companions.	SNG
Cant	1	8	If thou know not thyself, thou fair one among women, go thou forth by the footsteps of the flocks, and feed thy kids by the shepherds' tents.	SNG
Cant	1	9	I have likened thee, my companion, to my horses in the chariots of Pharao.	SNG
Cant	1	10	How are thy cheeks beautiful as those of a dove, thy neck as chains!	SNG
Cant	1	11	We will make thee figures of gold with studs of silver.	SNG
Cant	1	12	So long as the king was at table, my spikenard gave forth its smell.	SNG
Cant	1	13	My kinsman is to me a bundle of myrrh; he shall lie between my breasts.	SNG
Cant	1	14	My kinsman is to me a cluster of camphor in the vineyards of Engaddi.	SNG
Cant	1	15	Behold, thou art fair, my companion; behold, thou art fair; thine eyes are doves.	SNG
Cant	1	16	Behold, thou art fair, my kinsman, yea, beautiful, overshadowing our bed.	SNG
Cant	1	17	The beams of our house are cedars, our ceilings are of cypress.	SNG
Cant	2	1	I am a flower of the plain, a lily of the valleys.	SNG
Cant	2	2	As a lily among thorns, so is my companion among the daughters.	SNG
Cant	2	3	As the apple among the trees of the wood, so is my kinsman among the sons. I desired his shadow, and sat down, and his fruit was sweet in my throat.	SNG
Cant	2	4	Bring me into the wine house; set love before me.	SNG
Cant	2	5	Strengthen me with perfumes, stay me with apples: for I am wounded with love.	SNG
Cant	2	6	His left hand shall be under my head, and his right hand shall embrace me.	SNG
Cant	2	7	I have charged you, ye daughters of Jerusalem, by the powers and by the virtues of the field, that ye do not rouse or wake my love, until he please.	SNG
Cant	2	8	The voice of my kinsman! behold, he comes leaping over the mountains, bounding over the hills.	SNG
Cant	2	9	My kinsman is like a roe or a young hart on the mountains of Bæthel: behold, he is behind our wall, looking through the windows, peeping through the lattices.	SNG
Cant	2	10	My kinsman answers, and says to me, Rise up, come, my companion, my fair one, my dove.	SNG
Cant	2	11	For, behold, the winter is past, the rain is gone, it has departed.	SNG
Cant	2	12	The flowers are seen in the land; the time of pruning has arrived; the voice of the turtle-dove has been heard in our land.	SNG
Cant	2	13	The fig-tree has put forth its young figs, the vines put forth the tender grape, they yield a smell: arise, come, my companion, my fair one, my dove; yea, come.	SNG
Cant	2	14	Thou art my dove, in the shelter of the rock, near the wall: shew me thy face, and cause me to hear thy voice; for thy voice is sweet, and thy countenance is beautiful.	SNG
Cant	2	15	Take us the little foxes that spoil the vines: for our vines put forth tender grapes.	SNG
Cant	2	16	My kinsman is mine, and I am his: he feeds his flock among the lilies.	SNG
Cant	2	17	Until the day dawn, and the shadows depart, turn, my kinsman, be thou like to a roe or young hart on the mountains of the ravines.	SNG
Cant	3	1	By night on my bed I sought him whom my soul loves: I sought him, but found him not; I called him, but he hearkened not to me.	SNG
Cant	3	2	I will rise now, and go about in the city, in the market-places, and in the streets, and I will seek him whom my soul loves: I sought him, but I found him not.	SNG
Cant	3	3	The watchmen who go their rounds in the city found me. I said, Have ye seen him whom my soul loves?	SNG
Cant	3	4	It was as a little while after I parted from them, that I found him whom my soul loves: I held him, and did not let him go, until I brought him into my mother's house, and into the chamber of her that conceived me.	SNG
Cant	3	5	I have charged you, O daughters of Jerusalem, by the powers and by the virtues of the field, that ye rouse not nor awake my love, until he please.	SNG
Cant	3	6	Who is this that comes up from the wilderness as pillars of smoke, perfumed with myrrh and frankincense, with all powders of the perfumer?	SNG
Cant	3	7	Behold Solomon's bed; sixty mighty men of the mighty ones of Israel are round about it.	SNG
Cant	3	8	They all hold a sword, being expert in war: every man has his sword upon his thigh because of fear by night.	SNG
Cant	3	9	King Solomon made himself a litter of woods of Lebanon.	SNG
Cant	3	10	He made the pillars of it silver, the bottom of it gold, the covering of it scarlet, in the midst of it a pavement of love, for the daughters of Jerusalem.	SNG
Cant	3	11	Go forth, ye daughters of Sion, and behold king Solomon, with the crown wherewith his mother crowned him, in the day of his espousals, and in the day of the gladness of his heart.	SNG
Cant	4	1	Behold, thou art fair, my companion; behold, thou art fair; thine eyes are doves, beside thy veil: thy hair is as flocks of goats, that have appeared from Galaad.	SNG
Cant	4	2	Thy teeth are as flocks of shorn sheep, that have gone up from the washing; all of them bearing twins, and there is not a barren one among them.	SNG
Cant	4	3	Thy lips are as a thread of scarlet, and thy speech is comely: like the rind of a pomegranate is thy cheek without thy veil.	SNG
Cant	4	4	Thy neck is as the tower of David, that was built for an armoury: a thousand shields hang upon it, and all darts of mighty men.	SNG
Cant	4	5	Thy two breasts are as two twin fawns, that feed among the lilies.	SNG
Cant	4	6	Until the day dawn, and the shadows depart, I will betake me to the mountain of myrrh, and to the hill of frankincense.	SNG
Cant	4	7	Thou art all fair, my companion, and there is no spot in thee.	SNG
Cant	4	8	Come from Libanus, my bride, come from Libanus: thou shalt come and pass from the top of Faith, from the top of Sanir and Hermon, from the lions' dens, from the mountains of the leopards.	SNG
Cant	4	9	My sister, my spouse, thou hast ravished my heart; thou hast ravished my heart with one of thine eyes, with one chain of thy neck.	SNG
Cant	4	10	How beautiful are thy breasts, my sister, my spouse! how much more beautiful are thy breasts than wine, and the smell of thy garments than all spices!	SNG
Cant	4	11	Thy lips drop honeycomb, my spouse: honey and milk are under thy tongue; and the smell of thy garments is as the smell of Libanus.	SNG
Cant	4	12	My sister, my spouse is a garden enclosed; a garden enclosed, a fountain sealed.	SNG
Cant	4	13	Thy shoots are a garden of pomegranates, with the fruit of choice berries; camphor, with spikenard:	SNG
