# Final repair ledger: the 23 rows the targeted cold re-review returned
# CHANGES_REQUIRED, one row each, and what was done about them.
#
# Review target of that re-review:  214797e784be0f20b40e6e64aefbe928e80d69c4
# Its artifacts landed at:          fdab026bed84293e6f1ceb4bb9b2366c0d1f699e
# This repair lane ran on:          fdab026be..HEAD
#
# Dispositions: fixed | withdrawn-after-new-evidence | blocked-source |
# maintainer-disposition
#
# This ledger also carries the re-disposition of two rows of
# post-audit-corrections.tsv -- A4-017 and F-021 -- which the re-review found
# recorded as `withdrawn-after-new-evidence` on grounds that do not hold. That
# file is NOT amended: it is the completed record of what an earlier lane
# decided against a frozen commit, post-audit-rereview-findings.tsv cites it,
# and rewriting it would make a published finding unreproducible against the
# tree. The correction lives here instead.
review_id	original_manifest_id	claim_or_case	severity	failure_type	disposition	source_record	source_locus	changed_files	changed_claims_or_scopes	correction_summary	test_or_check	final_acceptance_required	notes
RR-090	RR-090; RR-031	event:israel.monarchy.temple-begun#5 - Howlett's "the Temple was begun, 958 B.C." held as an alternate under catholic-traditional-v1	major	profile-boundary-leak	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", closing sentence of the section "The Exodus to the building of Solomon's Temple" (retained text line 174)	src/sources/chronology/events.yaml	event:israel.monarchy.temple-begun#5 (removed); event:israel.monarchy.temple-begun#4 (removed); event:israel.monarchy.david-accession#2 (removed); event:israel.monarchy.solomon-accession#2 (removed); event:israel.divided-kingdom.division#2 (removed); event:israel.divided-kingdom.division#3 (removed); subject notes on all four events amended; temple-begun#2, division#0, death-of-saul#0 and david-capture-of-sion#0 claim notes amended	Withdrawn, not re-disposed, on the ground and by the method used for israel.exodus.the-exodus#1. The section was reopened whole: the sentence's "therefore" refers back to a paragraph that is modern-critical from end to end - "almost a consensus of scientific opinion", "Assyriologists and Egyptologists agree" citing Driver's "Genesis", Ramses II "from 1348-1281 (Sayce)", the concession "we are left with only about 327 years, as against 480 required by 1 Kings 6:1", and "Wellhausen and Stade regard 6:1, as a late insertion" - while of the Catholic reading Howlett says the opposite, "For the Catholic, that passage seems to settle the question." Section 4.3's reporting licence is granted to Ussher BY NAME and to nothing else, which is why claim #2 on this event, Howlett printing Ussher's 1010, stands and this one cannot; `alternate` is a disposition among claims already admitted and opens no admission route. The ruling was NOT confined to #5: the same sentence supplies 1002 and 962, still held on david-accession and solomon-accession, and the immediately following section derives 969, 936 and 937 from it - "the foundation of the Temple may be fixed, according to Sayce, for about the year 969, which would be very near the date given above" - inside a section whose stated project is Mangenot's that the chronology of the kings "must be made to accord with the Assyrian chronology". Withdrawing one figure of that chain while keeping the others would have rebuilt the defect the row condemns, so all six went. Every withdrawn figure is recorded in its subject's note, in the shape israel.exodus.the-exodus's note already uses; the corpus does not lose the fact that Howlett printed them.	tools/tpt scripture-chronology query 3Kings.6.1 (958 and Howlett's 969 gone; Sloet's 969 remains); query 3Kings.12.19; validate; 94/94 chronology tests	yes	All 52 corpus claims citing this artifact at the review target were enumerated from the loader and ruled individually, not by section; the counts are 54 at 2330d63a5, 52 at 214797e78 and 46 at the final repair HEAD, six having been withdrawn (FA-140 defect 2 corrected on 2026-09-01: the earlier ""forty-four"" was arithmetically impossible against this lane's own 52 and its own six-claim withdrawal list). Forty-six are admissible and stand: two are Howlett reporting Ussher under the express licence, two are Howlett reporting the tradition as tradition ("But the traditional date is 975"; the Martyrology's 5199), ten are Scripture's own numbers in text-families the article names, and the post-Exilic, Maccabean and New Testament figures rest on Esdras, 1 Machabees, Josephus and the Fathers - material where Howlett decides AGAINST the critical school every time he meets it, which is the exact inverse of the Kings section. Two contestable calls were made and are flagged for the acceptance reviewer: fall-of-samaria#1 (722 or 721) sits in the same closing sentence but is not a divergence figure - the two schemes meet at Samaria and the Petavius table prints 721 - and third-captivity#4 (536 for the destruction of Jerusalem) is off the chain and plainly a misprint the same article contradicts at 586, recorded as printed under the standing decision not to repair a source silently. BOTH WERE ADJUDICATED ON 2026-09-01 by the profile-contract lane: the final cold audit (FA-140) accepted the fall-of-samaria defence and it stands answerable; third-captivity#4's 536 was moved to answerability: preserved on basis_class unresolved, so it is still recorded exactly as printed and is no longer a candidate answer. Sloet's table in volume 8 is ESCALATED AND NOT RULED; see final-repair-report.md.
RR-090-LEAD	RR-090; RR-031	the explicit ruling the directions require on Howlett's 958 B.C.	major	profile-boundary-leak	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	as RR-090	src/sources/chronology/events.yaml	as RR-090	The lead's own escalation, closed by the same edit as RR-090 and on the same evidence. The row's principle - one sentence cannot be two profiles - is what forced the ruling past the single claim it names.	as RR-090	yes	This row and RR-090 are one case; they are kept as two rows because the re-review recorded them as two.
WD-A4-017	WD-A4-017 (cold-audit A4-017)	event:israel.exile.ezechiel.death-of-the-prophets-wife#0 - containment encoded as a relative anchor, the anchor being the claim's own parent	major	containment-encoded-as-relative-anchor	fixed	bible:douay-rheims:Ezech.24.16; bible:douay-rheims:Ezech.24.17; bible:douay-rheims:Ezech.24.18; artifact.catholic-encyclopedia.volume-5.new-york-1909.newadvent-05737b-06e3e070; scripts/_chronology.py	Ezechiel 24:15-18; guidance/scripture-chronology.md 10.0; scripts/_chronology.py _claims and Date.anchor	src/sources/chronology/events.yaml; src/sources/chronology/coverage.tsv (derived); tools/scripture-chronology (recaptured transcripts); tools/tests/test_chronology.py	event:israel.exile.ezechiel.death-of-the-prophets-wife#0 (withdrawn; the event stands claimless)	The audit's shape is applied, because the ground the earlier ledger gave for withdrawing the finding is false. That ledger says "an event must carry a non-empty dates list, so dropping the claim would mean deleting the event and orphaning its bindings". The loader says otherwise: _claims is called with required=False for events and returns () for a MISSING dates key, and the non-empty raise fires only on a key present and empty. The precedent was live in the same file when the ledger was written - israel.monarchy.saul-accession has stood claimless since ec0020012, which landed BEFORE the commit that created the ledger. The two precedents the ledger cited do not support the stored shape either: ark-comes-to-cariathiarim and division-of-the-land both anchor on an ANTECEDENT event, never on their own container. So the claim is withdrawn, the containment stays where it belongs on `parent`, and the verbatim Ezech. 24:16-18 testimony and the Schets quotation are carried in the event note. Nothing is orphaned: the narrated-event binding survives and already held those words. No gaps.yaml row is authored and none may be - validate refuses an undated-in-tradition row over loci that carry five assertions, and Ezech.24.18 still answers `dated` from the inherited Ezech-scoped claims.	TrackedHardCaseTests.test_a_containing_span_is_not_the_event_an_episode_is_offset_from - fails against the pre-fix corpus, passes after; tools/tpt scripture-chronology query Ezech.24.18 still `dated`	yes	The fix is NOT the general rule "an anchor may not be a parent": five claims legitimately anchor on their own parent and each states a real position against it (josias-reform "in the eighteenth year of king Josias", promulgation-of-the-law "the third day", noe-warned "one hundred and twenty years before it occurred", flight-of-the-christians-from-jerusalem "before the war", abram-contact-with-egypt-and-elam). This claim's statement said nothing about its anchor at all, which is the discriminator. What the earlier ledger got right stands: PRECISIONS is closed and holds no containment shape, duration.within is reachable only from precision duration, a relative date must name an anchor, nothing computed and no false date was ever displayed. That ledger row is re-dispositioned here rather than rewritten there.
GUIDANCE-6	GUIDANCE-6	guidance/scripture-chronology.md section 6 forbids the claimless event the loader now permits and production holds	major	contract-behind-implementation	fixed		guidance/scripture-chronology.md, section 6; scripts/_chronology.py::_claims	guidance/scripture-chronology.md	the events contract: section 6 and the new section 6.1; the section 10.0 anchor bullet	Section 6 now reads "zero or more dated claims" and a new section 6.1 states the whole contract, derived from the loader and proved by probe rather than from the loader's prose: an event may hold zero claims and is authored by OMITTING `dates`, an empty list being refused here as everywhere; such an event asserts nothing and returns nothing; a binding may name it and a relative date may be measured from it, because an anchor is checked for existence and never computed with; a binding to it contributes no assertion, so its loci keep whatever else reaches them and nothing moves in coverage; validate remarks on it exactly as on any event no binding reaches, a remark and not an error; a composition unit still requires a claim, because a unit exists only to carry a composition date over an extent; and this is not `research-pending`, which is a status a LOCUS has when no ranked source has been inspected for it, where a claimless event is a SUBJECT this corpus holds and dates nowhere. The section 10.0 bullet now reads "must name an anchor that exists, dated or not".	tools/tests/test_chronology.py::test_an_event_may_be_a_subject_without_being_a_dated_one and ::test_a_composition_unit_still_needs_a_date already enforce the loader half; the probe corpora that established each answer are recorded in the lane report	yes	Production now holds TWO claimless events, not one: israel.monarchy.saul-accession and, after WD-A4-017, israel.exile.ezechiel.death-of-the-prophets-wife. Section 6.1 names both. The implementation was ruled correct and was not changed to preserve stale guidance.
STALECOUNT	STALECOUNT	a dependency count that went stale inside the same lane that made it stale - "four claims are measured from israel.monarchy.saul-accession"	minor	stale-statement-within-one-wave	fixed		src/sources/chronology/events.yaml, the saul-accession note; scripts/_chronology.py::_claims; tools/tests/test_chronology.py	src/sources/chronology/events.yaml; scripts/_chronology.py; tools/tests/test_chronology.py	the saul-accession event note; the _claims comment; one test docstring	Counted from the loaded corpus, not by grep: three claims anchor on the event - israel.monarchy.anointing-of-saul#0, israel.monarchy.deliverance-of-jabes-galaad#0 and unit:composition.book-of-judges#0 - plus two bindings. Four was true at 2330d63a5 and stopped being true when the same lane re-anchored israel.judges.period#0. All three sites are now phrased so they cannot go stale again - "bindings name it and other claims are measured from it" - because a count is the machine-readable form of exactly the section 15.1(5) trap this row is an instance of, and the magnitudes are one command away.	the count reproduced by loading the corpus and walking date.relative.of and duration.within over every claim of every event and unit	yes	A THIRD site was found that neither STALECOUNT nor RR-028 names: the docstring of tools/tests/test_chronology.py::test_an_event_may_be_a_subject_without_being_a_dated_one, which is the very test the correction lane cited as its verification. The instance in post-audit-corrections.tsv is deliberately left: it is a lane record of why an escalation was made, and four was true at the moment of escalation.
RR-028	RR-028	event:israel.monarchy.saul-accession#0 withdrawn - the withdrawal is right, its note's dependency count is stale and the contract did not admit the resulting shape	minor	stale-statement-within-one-wave	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04; artifact.catholic-encyclopedia.volume-13.new-york-1912.newadvent-13486d-f838ad5f	Howlett, "Biblical Chronology", close of "The Exodus to the building of Solomon's Temple"; Driscoll, "Saul", whole article	src/sources/chronology/events.yaml; scripts/_chronology.py; tools/tests/test_chronology.py; guidance/scripture-chronology.md	the saul-accession event note; the events contract	Both halves closed, under STALECOUNT and GUIDANCE-6 respectively. The withdrawal itself was confirmed right at source and is untouched.	as STALECOUNT and GUIDANCE-6	yes	The row's judgement that no gaps.yaml row should be authored is correct and was not disturbed: _chronology consults gaps only where no assertion reaches the locus, and 1 Kings 10-12 carry their book's composition unit, so a gap row there would be unreachable.
RR-091	RR-091	two New Advent letter-index pages registered to prove a silence while disclaiming, on their face, the exhaustiveness the work record claims for them	major	overbroad-silence-on-partial-evidence	fixed	artifact.catholic-encyclopedia.alphabetical-index.newadvent-web-2026-08-27.index-g-064c6c3b; ...index-n-ef3ba0eb; and, newly registered, ...index-g-ce-5c91a95b and ...index-n-ce-5fd9c5e7	https://www.newadvent.org/cathen/{g,n,g-ce,n-ce}.htm, all four refetched and hashed 2026-08-27	src/sources/works/catholic-encyclopedia/alphabetical-index/work.toml; src/sources/works/catholic-encyclopedia/alphabetical-index/editions/newadvent-web-2026-08-27/edition.toml; two artifact.toml rewritten and two added; four passage records added; src/sources/chronology/gaps.yaml; src/web/data/structure/sources (regenerated); guidance/sources.md	gap:undated-in-tradition @ Gen (reason and sources); gap:undated-in-tradition @ Num (reason and sources)	All four pages were refetched and hashed independently. g.htm (32272 bytes) and n.htm (22935) match their registered records exactly and both print, above their first entry, "This list represents only a tiny fraction of articles available on the New Advent website. For a more complete list, please see the full index for G [N] or use the search box at the top of this page." The unabridged pages they name were fetched and registered: g-ce.htm, 91589 bytes, 540 article links, no disclaimer, and the Gene- run carries no entry for the book and the string "Genesis" nowhere; n-ce.htm, 42014 bytes, 287 article links, no disclaimer, and "Numbers" occurs once in the whole page, as Thurston's 11151a. The work record's clause "listing every article the encyclopedia carries under that letter" is struck and replaced by what New Advent actually delivers, distinguishing the abridged page from the -ce index; "only the index can establish that" is struck from both artifact notes and each now carries the page's own limitation verbatim; and the edition note no longer says the index settles whether an article exists. Four index-control passage records were added on the corpus's own precedent - each recording the exact inspected run, the page's own disclaimer or its absence, and what the record can and cannot bear. The Genesis and Numbers gap rows now cite the record that actually proves the negative, and the Numbers row's consumer-facing "its full index for N" now names the page that is the full index.	tools/tpt source-library validate (artifact 1918->1920, passage 2869->2873); tools/tpt source-reader structure --check; tools/tpt scripture-chronology query Num.11.1 and Gen.1.1; validate	yes	The underlying negative survives and was verified independently against the unabridged indexes; no chronology status or verse count moves. What was wrong is that the registered evidence did not establish the claim it was registered to establish - section 15.1(4) recurring inside the correction made to answer section 15.1(4). Neither -ce page ATTESTS its own completeness; the only warrant is the abridged page's link text calling it "the full index" in a sentence offering it as "a more complete list", and every new record and gap clause is worded to carry that bound rather than launder it into exhaustiveness. A reusable rule was added to guidance/sources.md rather than a validator, because the artifact schema has no `completeness` field for a validator to check and adding one is a schema-version decision outside this lane.
RR-091-LEAD	RR-091	two New Advent letter-index pages registered to prove a silence while disclaiming, on their face, the exhaustiveness the work record claims for them	major	overbroad-silence-on-partial-evidence	fixed	artifact.catholic-encyclopedia.alphabetical-index.newadvent-web-2026-08-27.index-g-064c6c3b; ...index-n-ef3ba0eb; and, newly registered, ...index-g-ce-5c91a95b and ...index-n-ce-5fd9c5e7	https://www.newadvent.org/cathen/{g,n,g-ce,n-ce}.htm, all four refetched and hashed 2026-08-27	src/sources/works/catholic-encyclopedia/alphabetical-index/work.toml; src/sources/works/catholic-encyclopedia/alphabetical-index/editions/newadvent-web-2026-08-27/edition.toml; two artifact.toml rewritten and two added; four passage records added; src/sources/chronology/gaps.yaml; src/web/data/structure/sources (regenerated); guidance/sources.md	gap:undated-in-tradition @ Gen (reason and sources); gap:undated-in-tradition @ Num (reason and sources)	All four pages were refetched and hashed independently. g.htm (32272 bytes) and n.htm (22935) match their registered records exactly and both print, above their first entry, "This list represents only a tiny fraction of articles available on the New Advent website. For a more complete list, please see the full index for G [N] or use the search box at the top of this page." The unabridged pages they name were fetched and registered: g-ce.htm, 91589 bytes, 540 article links, no disclaimer, and the Gene- run carries no entry for the book and the string "Genesis" nowhere; n-ce.htm, 42014 bytes, 287 article links, no disclaimer, and "Numbers" occurs once in the whole page, as Thurston's 11151a. The work record's clause "listing every article the encyclopedia carries under that letter" is struck and replaced by what New Advent actually delivers, distinguishing the abridged page from the -ce index; "only the index can establish that" is struck from both artifact notes and each now carries the page's own limitation verbatim; and the edition note no longer says the index settles whether an article exists. Four index-control passage records were added on the corpus's own precedent - each recording the exact inspected run, the page's own disclaimer or its absence, and what the record can and cannot bear. The Genesis and Numbers gap rows now cite the record that actually proves the negative, and the Numbers row's consumer-facing "its full index for N" now names the page that is the full index.	tools/tpt source-library validate (artifact 1918->1920, passage 2869->2873); tools/tpt source-reader structure --check; tools/tpt scripture-chronology query Num.11.1 and Gen.1.1; validate	yes	The underlying negative survives and was verified independently against the unabridged indexes; no chronology status or verse count moves. What was wrong is that the registered evidence did not establish the claim it was registered to establish - section 15.1(4) recurring inside the correction made to answer section 15.1(4). Neither -ce page ATTESTS its own completeness; the only warrant is the abridged page's link text calling it "the full index" in a sentence offering it as "a more complete list", and every new record and gap clause is worded to carry that bound rather than launder it into exhaustiveness. A reusable rule was added to guidance/sources.md rather than a validator, because the artifact schema has no `completeness` field for a validator to check and adding one is a schema-version decision outside this lane.
RR-092	RR-092	five of six newly registered Catholic Encyclopedia articles carry a neighbouring index entry's citation instead of their own	major	citation-names-the-wrong-article	fixed	artifact.catholic-encyclopedia.volume-6...newadvent-06412b-bdfebbee, -06412c-57ecea11, -06413a-88aaf066, -06413c-a10d26f7; volume-11...newadvent-11151a-aaa70339; volume-9...newadvent-09207a-e9463bc3	each page's own printed MLA citation line, refetched 2026-08-27	src/sources/works/catholic-encyclopedia/volume-6/editions/new-york-1909/artifacts/newadvent-06412{b,c}-*/artifact.toml; src/sources/works/catholic-encyclopedia/volume-6/editions/new-york-1909/artifacts/newadvent-06413{a,c}-*/artifact.toml; .../volume-11/.../newadvent-11151a-aaa70339/artifact.toml; src/web/data/structure/sources (regenerated)	none - no chronology claim, scope or status changes; the provenance of the Genesis, Numbers and Leviticus gap rows' evidence changes	All six pages were refetched, hashed and read. Every sha256 and byte_size matches its record exactly, so the bytes were always right and only the identity was wrong. Each page's own MLA line was read and the notes corrected to it: 06412b is Alston, George Cyprian, "General Chapter"; 06412c is Gigot, Francis, "Generation"; 06413a is "Genesareth", unsigned, and the record now says so; 06413c is Mershman, Francis, "Genesius"; 11151a is Thurston, Herbert, "Use of Numbers in the Church", and the record now records that New Advent's index files it under the inverted form "Numbers, Use of, in the Church". The sixth, 09207a "Leviticus", was independently rechecked because the class failure affected the registration process rather than four records, and it is correct as registered - unsigned title, volume 9, 1910, and a body of exactly the one sentence the Leviticus gap row quotes. The false citations were published downstream, so src/web/data/structure/sources was regenerated in the same lane.	each page refetched and its sha256 compared with the record before the note was written; tools/tpt source-library validate; tools/tpt source-reader structure --check	yes	The four wrong titles are the first four entry titles of New Advent's index for G, shifted by one against the article numbers - the notes were written from the index page and the gap row's prose from the fetched pages, which is why gaps.yaml had the titles right and the records that gaps.yaml cites had them wrong. Two faults are conflated by the re-review's "five of six misname the article" and are worth keeping apart: four records name a DIFFERENT article, and 11151a names the right article in the index's form rather than the page's. Only the first four would have sent a reader to the wrong page.
RR-092-LEAD	RR-092	five of six newly registered Catholic Encyclopedia articles carry a neighbouring index entry's citation instead of their own	major	citation-names-the-wrong-article	fixed	artifact.catholic-encyclopedia.volume-6...newadvent-06412b-bdfebbee, -06412c-57ecea11, -06413a-88aaf066, -06413c-a10d26f7; volume-11...newadvent-11151a-aaa70339; volume-9...newadvent-09207a-e9463bc3	each page's own printed MLA citation line, refetched 2026-08-27	src/sources/works/catholic-encyclopedia/volume-6/editions/new-york-1909/artifacts/newadvent-06412{b,c}-*/artifact.toml; src/sources/works/catholic-encyclopedia/volume-6/editions/new-york-1909/artifacts/newadvent-06413{a,c}-*/artifact.toml; .../volume-11/.../newadvent-11151a-aaa70339/artifact.toml; src/web/data/structure/sources (regenerated)	none - no chronology claim, scope or status changes; the provenance of the Genesis, Numbers and Leviticus gap rows' evidence changes	All six pages were refetched, hashed and read. Every sha256 and byte_size matches its record exactly, so the bytes were always right and only the identity was wrong. Each page's own MLA line was read and the notes corrected to it: 06412b is Alston, George Cyprian, "General Chapter"; 06412c is Gigot, Francis, "Generation"; 06413a is "Genesareth", unsigned, and the record now says so; 06413c is Mershman, Francis, "Genesius"; 11151a is Thurston, Herbert, "Use of Numbers in the Church", and the record now records that New Advent's index files it under the inverted form "Numbers, Use of, in the Church". The sixth, 09207a "Leviticus", was independently rechecked because the class failure affected the registration process rather than four records, and it is correct as registered - unsigned title, volume 9, 1910, and a body of exactly the one sentence the Leviticus gap row quotes. The false citations were published downstream, so src/web/data/structure/sources was regenerated in the same lane.	each page refetched and its sha256 compared with the record before the note was written; tools/tpt source-library validate; tools/tpt source-reader structure --check	yes	The four wrong titles are the first four entry titles of New Advent's index for G, shifted by one against the article numbers - the notes were written from the index page and the gap row's prose from the fetched pages, which is why gaps.yaml had the titles right and the records that gaps.yaml cites had them wrong. Two faults are conflated by the re-review's "five of six misname the article" and are worth keeping apart: four records name a DIFFERENT article, and 11151a names the right article in the index's form rather than the page's. Only the first four would have sent a reader to the wrong page.
