# Targeted cold re-review manifest for the post-audit correction lane.
# Audited corpus: 2330d63a5.  Correction target: 214797e78.
# Every row is a factual claim, binding scope, gap row or hard case the
# correction lane CHANGED, derived by loading both corpora through
# scripts/_chronology.py and diffing the loaded OBJECTS. Nothing here is
# sampled: the next cold reviewer inspects 100% of it.
# Both revisions are named by sha and neither is "HEAD", because HEAD moves and
# this file does not.
# Regenerate with `python3 scripts/build_rereview_manifest.py`; check with
# `--check`. Comparing objects rather than YAML text means a reformat cannot
# hide a change, and comparing `date.relative.of` rather than only `str(date)`
# means a moved anchor cannot hide behind an unrestated statement.
review_id	kind	identifier	why	locus	notes
RR-001	claim	event:apostolic-age.death-of-herod-agrippa#0	changed:sources		
RR-002	claim	event:apostolic-age.exile-of-saint-john-to-patmos#0	changed:sources+note		
RR-003	claim	event:apostolic-age.jewish-revolt-against-rome#0	changed:sources		
RR-004	claim	event:apostolic-age.saint-paul-first-roman-captivity#1	changed:basis+note		
RR-005	claim	event:apostolic-age.second-arrest-of-saint-paul#0	changed:date+note		
RR-006	claim	event:israel.conquest.war-against-the-kings-of-chanaan#0	changed:date+label+note		
RR-007	claim	event:israel.divided-kingdom.osee-ministry#0	added		absent at 2330d63a5
RR-008	claim	event:israel.divided-kingdom.osee-ministry#1	added		absent at 2330d63a5
RR-009	claim	event:israel.exile.ezechiel.call#0	changed:date+label		
RR-010	claim	event:israel.exile.first-captivity#0	changed:basis+note		
RR-011	claim	event:israel.exile.second-captivity#0	changed:disposition+basis+note		
RR-012	claim	event:israel.exile.second-captivity#1	changed:disposition+date+anchor+label+sources+basis+note		
RR-013	claim	event:israel.exile.second-captivity#2	added		absent at 2330d63a5
RR-014	claim	event:israel.exile.third-captivity#0	changed:basis		
RR-015	claim	event:israel.exodus.passage-of-the-red-sea#0	added		absent at 2330d63a5
RR-016	claim	event:israel.exodus.the-exodus#0	changed:disposition+note		
RR-017	claim	event:israel.exodus.the-exodus#1	changed:disposition+date+anchor+label+sources+basis+note		
RR-018	claim	event:israel.exodus.the-exodus#2	changed:disposition+date+label+sources+basis+note		
RR-019	claim	event:israel.exodus.the-exodus#3	withdrawn		present at 2330d63a5, absent now
RR-020	claim	event:israel.exodus.the-plagues-of-egypt#0	changed:date+label+sources+note		
RR-021	claim	event:israel.exodus.the-plagues-of-egypt#1	changed:label+note		
RR-022	claim	event:israel.judges.capture-of-the-ark#0	changed:label+note		
RR-023	claim	event:israel.judges.heli-judgeship#0	changed:note		
RR-024	claim	event:israel.judges.period#0	changed:date+anchor+label+note		
