# Cold independent source audit of the Scripture chronology corpus.
# Audited corpus commit: 2330d63a5 (branch feature/bible-dating).
#
# Every row is a CHANGES_REQUIRED finding that survived an independent adversarial
# re-reading briefed to refute it; most survived two. 68 further findings were
# raised and refuted and are listed in the report, not here — a correction lane
# should not re-raise them without new evidence. 392 PASS rows are not listed.
# Where two verification passes split, the finding is held standing (35 rows).
#
# severity: critical = a materially false date, event, attribution or source
#   identity could reach a consumer as canonical fact. major = semantically wrong
#   without producing a wholly false date. minor = prose or metadata only.
finding_id	claim_id	audit_class	source_record	source_locus	result	severity	issue_type	recommended_action	notes
A2-002	event:israel.patriarchs.birth-of-abram#0	A-duration-relative	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Catholic Encyclopedia III (1908), "Biblical Chronology", section 4 'The flood to the birth of Abraham', closing row of the genealogical table and the sentence following it	CHANGES_REQUIRED	critical	relative-offset-wrong-terminus	Re-subject this claim to israel.patriarchs.call-of-abram (anchor israel.primeval.deluge unchanged), or, if it is to stay on the birth, replace the figure with the table's pre-addition subtotal (292 Hebrew / 942 Samaritan / 1072 Septuagint). As stored the corpus overstates the Flood-to-birth interval by exactly the seventy-five years of Genesis 12:4, and double-counts them against event:israel.patriarchs.call-of-abram#0, which already adds seventy-five years to the birth.	Basis quotation "the numbers in the table above differ in the Hebrew, Samaritan, and Septuagint, being respectively 367, 1017, and 1147" verified verbatim in the retained text. The defect is not the quotation but the terminus: the sentence says 'the numbers in the table above', and the table's own summation row names the Call, not the birth. The claim's own note concedes 'the table it refers to reaches Abraham's call, adding the seventy-five years of Genesis 12:4; the terminus is recorded here as stated in the heading and the ambiguity is not resolved' - but the source does resolve it: the section heading is a table of contents label (head (4) of the article's opening list), while the arithmetic row inside the table is explicit. A wrong figure of a well-formed kind reaches a consumer, so this is not a permissible unresolved ambiguity.
A2-003	event:israel.patriarchs.birth-of-abram#1	A-duration-relative	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Catholic Encyclopedia III (1908), "Biblical Chronology", section 4 'The flood to the birth of Abraham', closing row of the genealogical table and the sentence following it	CHANGES_REQUIRED	critical	relative-offset-wrong-terminus	Re-subject this claim to israel.patriarchs.call-of-abram (anchor israel.primeval.deluge unchanged), or, if it is to stay on the birth, replace the figure with the table's pre-addition subtotal (292 Hebrew / 942 Samaritan / 1072 Septuagint). As stored the corpus overstates the Flood-to-birth interval by exactly the seventy-five years of Genesis 12:4, and double-counts them against event:israel.patriarchs.call-of-abram#0, which already adds seventy-five years to the birth.	Basis quotation "as a rule, the Greek and Samaritan agree against the Hebrew" verified verbatim in the retained text. The defect is not the quotation but the terminus: the sentence says 'the numbers in the table above', and the table's own summation row names the Call, not the birth. The claim's own note concedes 'the table it refers to reaches Abraham's call, adding the seventy-five years of Genesis 12:4; the terminus is recorded here as stated in the heading and the ambiguity is not resolved' - but the source does resolve it: the section heading is a table of contents label (head (4) of the article's opening list), while the arithmetic row inside the table is explicit. A wrong figure of a well-formed kind reaches a consumer, so this is not a permissible unresolved ambiguity.
A2-004	event:israel.patriarchs.birth-of-abram#2	A-duration-relative	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Catholic Encyclopedia III (1908), "Biblical Chronology", section 4 'The flood to the birth of Abraham', closing row of the genealogical table and the sentence following it	CHANGES_REQUIRED	critical	relative-offset-wrong-terminus	Re-subject this claim to israel.patriarchs.call-of-abram (anchor israel.primeval.deluge unchanged), or, if it is to stay on the birth, replace the figure with the table's pre-addition subtotal (292 Hebrew / 942 Samaritan / 1072 Septuagint). As stored the corpus overstates the Flood-to-birth interval by exactly the seventy-five years of Genesis 12:4, and double-counts them against event:israel.patriarchs.call-of-abram#0, which already adds seventy-five years to the birth.	Basis quotation "being respectively 367, 1017, and 1147" verified verbatim in the retained text. The defect is not the quotation but the terminus: the sentence says 'the numbers in the table above', and the table's own summation row names the Call, not the birth. The claim's own note concedes 'the table it refers to reaches Abraham's call, adding the seventy-five years of Genesis 12:4; the terminus is recorded here as stated in the heading and the ambiguity is not resolved' - but the source does resolve it: the section heading is a table of contents label (head (4) of the article's opening list), while the arithmetic row inside the table is explicit. A wrong figure of a well-formed kind reaches a consumer, so this is not a permissible unresolved ambiguity.
E1-007	event:israel.patriarchs.birth-of-abram#0	E	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	"Biblical Chronology", section "The flood to the birth of Abraham", the genealogical table and the sentence following it	CHANGES_REQUIRED	critical	wrong-terminus-materially-false-interval	Withdraw 367 from israel.patriarchs.birth-of-abram, or re-subject it to israel.patriarchs.call-of-abram, which this corpus already holds. If a Flood-to-birth figure is wanted, the source's own Hebrew figure is 292 ('392 ... deduct 100'), authored as such with its own basis. The identical defect stands on the sibling claims #1 (1017) and #2 (1147), which are the same table row for the Samaritan and the Septuagint; they are outside this package and need the same correction.	The table's own row labels are decisive and its arithmetic is printed: Hebrew column 392 minus 100 = 292 (Flood to Abraham's birth), plus 75 (age at his call) = 367 (Flood to Abraham's call). The corpus preferred the section HEADING ('The flood to the birth of Abraham') over the table row the sentence actually refers to, and its own note concedes the conflict while recording the wrong terminus anyway - 'the terminus is recorded here as stated in the heading and the ambiguity is not resolved'. The ambiguity is resolved, by the source, against the stored reading. The 75 is independently the tracked Douay's own figure at Gen 12:4 ('Abram was seventy-five years old when he went forth from Haran'), which the corpus already cites on israel.patriarchs.call-of-abram. Result: the birth of Abram is stored 75 years too late relative to the Flood, and a well-formed relative claim reads exactly like a right one.
LEAD-009	event:israel.patriarchs.birth-of-abram#0, #1, #2	A-relative-offset / wrong-terminus	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", CE vol. 3 (1908), section 4 "The flood to the birth of Abraham", the genealogical table and its final row	CHANGES_REQUIRED	critical	relative-offset-attached-to-the-wrong-terminus	Move all three claims to israel.patriarchs.call-of-abram (the anchor israel.primeval.deluge is correct), or keep them on the birth and replace the figures with the table's own Flood-to-birth row, 292 / 942 / 1072. Then correct the note on #0: the source does NOT leave the terminus ambiguous — only its section heading says "birth"; the table that yields the numbers says "Call". Also re-check that nothing downstream now double-counts, since the corpus already holds call-of-abram at +75 years from birth-of-abram on Genesis 12:4.	Confirmed by the lead directly in the retained article text, independently of the two auditor agents (A2 and E1) that raised it, and this is guidance §15.1(2) exactly — a relative anchor that exists but measures to the wrong point. MECHANISM, STATED CORRECTLY: a `relative` date in this corpus carries only {of, statement, note} — scripts/_chronology.py:1295 rejects any other key — so there is NO signed magnitude and NOTHING COMPUTES from it. The 367 lives only in the prose `statement` and `label`. The harm is therefore not a compounding arithmetic but a false displayed claim: a consumer asking about israel.patriarchs.birth-of-abram is told '367 years from the flood, in the Hebrew', which the source says of the CALL. That is still a wrong fact reaching a consumer under this profile, and the corpus separately holds the call at +75 from the birth on Genesis 12:4, so the two stored statements cannot both be true. guidance §10.0 already records this constraint about the class as a whole — 'Nothing computed with them, which is the only reason no wrong date had yet been produced.' Mitigations that do NOT discharge it: all three claims are `disputed`, and #0's note flags an ambiguity. The ambiguity is the corpus's, not the source's: only the section HEADING says 'birth'; the table row that yields the three numbers says 'Call'.
A2-026	event:israel.judges.period#0	A-duration-relative	bible:douay-rheims:Acts.13.20	Acts.13.20 (in context Acts.13.17-21)	CHANGES_REQUIRED	major	ambiguous-temporal-semantics	Do not remove the claim. The label "As it were, after four hundred and fifty years" is verbatim, hedged and correctly typed retrospective-event, and 15.4 forbids resolving an ambiguity the source left. Remove relative.of (see A2-029) and either re-state relative.statement in the Douay's own order or reduce it to the verbatim clause, so the machine string stops asserting the punctuation the claim's own note disclaims.	Three defects at once. (1) The stored relative.statement is not in the source: its clauses have been reordered so that the four hundred and fifty years attach to the judges, which is precisely the attachment the claim's own note says the Douay does NOT make ('The Douay punctuation attaches the four hundred and fifty years to what precedes'). A quotation the source does not contain is failure mode 15.1(1). (2) The anchor israel.monarchy.saul-accession exists but is measured from by nothing in the passage; combined with the label's direction word 'after', the claim resolves to the period of the Judges standing four hundred and fifty years AFTER the founding of the monarchy, and israel.monarchy.saul-accession carries an absolute year (1020 B.C.), so a resolver produces a materially false date. (3) The subject's own subject_note contradicts the claim: 'The two figures the tracked Douay text carries are both durations' - yet the claim is stored as relative. Removal is recommended because the tracked Douay supports neither structure for this subject: not a duration of the judges (the figure precedes them) and not an offset (no anchor is named). If the figure is retained it must be re-subjected to the span of Acts 13:17-19 and never anchored on Saul. A separate wrong-anchor row is filed as A2-029.
A2-029	event:israel.judges.period#0	B-wrong-anchor	bible:douay-rheims:Acts.13.20	Acts.13.20 (in context Acts.13.17-21)	CHANGES_REQUIRED	major	wrong-relative-anchor	Remove the anchor israel.monarchy.saul-accession. Saul enters the discourse only at Acts 13:21 and is the terminus of the judges, not their origin; anchoring on him inverts the whole sequence. See A2-026 for the recommended disposition of the claim as a whole.	Filed separately per the brief. israel.monarchy.saul-accession is a valid id and the loader's dangling-anchor check passes, which is exactly the section 15.1(2) blind spot: the anchor exists, and it is not what the source measures from. It is worse than the Jacob/Joseph case, because Saul's accession does not lie inside the interval at all - it lies after its far end, so the offset points backwards through the whole period it means to describe. israel.monarchy.saul-accession also carries an absolute year (1020 B.C., disposition alternate), so this anchor is computable and would yield a date for the Judges inside the Babylonian exile.
A3-006	event:israel.monarchy.absalom-revolt#0	B-wrong-anchor	bible:douay-rheims:2Kings.15.7 (structural anchor); passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.second-kings-15-absalom-conspiracy-chronology (commentary the claim's own note invokes)	2 Kings (2 Samuel) 15:7; Haydock commentary on 2 Kings 15, PDF page 430 / printed p. 400	CHANGES_REQUIRED	major	wrong-relative-anchor	Sound as to the anchor. The last sentence overstates: the claim's note already carries the manuscript problem ("treats 'after forty years' as a manuscript problem and cites Salien and Usher on it. The number must not be presented as settled"); naming 'four' explicitly is an improvement, not a required correction.	This is failure mode 15.1(2) exactly: a relative anchor that exists but is not what the source measures FROM, and the loader cannot catch it. The corpus itself holds israel.monarchy.david-reign as a duration of forty years (2 Kings 5:4), so 'forty years after the start of David's reign' places Absalom's revolt in the last year of the reign -- after which the narrative still requires Absalom's defeat, David's return, the numbering of the people and Solomon's accession. It also contradicts the corpus's own alternate claim on this same event (Haydock A. M. 2980, A. C. 1024) and Haydock's 'not yet sixty years old', which puts the revolt roughly in David's later-middle reign, not at its end. No computed date reaches a consumer today (tools/tpt prints the label 'And after forty years'), which is why this is major rather than critical.
A3-027	event:israel.restoration.nehemias-tidings-of-jerusalem#0	B-wrong-anchor	bible:douay-rheims:2Esd.1.1; artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10737c-8f80f067	2 Esdras (Nehemias) 1:1; Van Hoonacker, 'Book of Nehemiah', Catholic Encyclopedia vol. 10 (New York, 1911)	CHANGES_REQUIRED	major	wrong-relative-anchor	Re-anchor on the origin the sources actually count from. Author israel.restoration.artaxerxes-accession (Van Hoonacker's own 'Artaxerxes I (B. C. 465-24)' is a retained, ranked statement of it) and set relative.of to it, so that 'the twentieth year' is measured from the first year of the king. Failing that, remove the regnal year from relative.statement/date_str and carry it in the label only, expressing the relation to the calamity as the sequence it is -- but do not leave a numbered regnal offset anchored on an event that is not its origin.	Failure mode 15.1(2): the anchor exists but is not what the source measures FROM, and the text does not put it at the interval's start. The substitution is worse than a near-miss because israel.restoration.walls-forbidden-by-artaxerxes is itself stored as precision interval 485-424 B.C., a sixty-one-year window covering two reigns, so a twentieth year counted from it has no determinate origin at all. The claim's own note admits the substitution ('This corpus holds no first year of Artaxerxes to count it from'), but the premise is false against the registered source: Van Hoonacker prints Artaxerxes I's reign as B.C. 465-24 and states the twentieth year as B.C. 445. Not raised as critical because no computed year currently reaches a consumer -- tools/tpt scripture-chronology query 2Esd.1.1 prints the label only. Both quotations verified verbatim against the tracked Douay and the retained article.
A4-004	event:israel.exodus.the-plagues-of-egypt#0	B-wrong-anchor	bible:douay-rheims:Ex.7.25; bible:douay-rheims:Ex.9.31	Exodus 7:25; Exodus 9:31-32	CHANGES_REQUIRED	major	wrong-relative-anchor	Correct anchor is the striking of the river (the first plague, Ex 7:20-21), which this corpus holds no event for. Either author that event and anchor the seven days on it, or keep israel.exodus.moses-before-pharao as a bare sequence anchor and move the seven days out of the statement/label into a contained interval, so that anchor + "seven days" cannot be read as 'seven days after Moses' first approach to Pharao'.	This is failure mode 15.1(2) in its exact shape: the anchor id is valid and the anchor is wrong. Between the anchor (Ex 5) and the start of the counted seven days stand the return to Pharao, the rod-serpent sign and the first plague, so Date.anchor plus the stored label asserts an interval Scripture does not state. Both Douay quotations are verbatim; the season of Ex 9:31-32 is correctly NOT turned into a month. The Catholic Encyclopedia reads the same seven days the same way ("The second plague came seven days later"), i.e. from the first plague, not from the audience.
