final_review_id	case_type	claim_or_scope_id	prior_review_ids	source_record	source_locus	result	severity_if_failed	profile_ruling	evidence_summary	required_action_if_failed	notes
FA-001	binding	historical-setting -> israel.exile.first-captivity	RR-064	artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04620a-900282cd	Gigot, "Daniel", CE vol. 4 (1908), biographical section	PASS	-	admissible: CE 1907-1914 = rank 6, Gigot asserting in his own voice; no Ussher, nothing modern-critical	Row ABSENT at HEAD and at all four intermediate commits. Reopened 04620a in the retained extraction and by live refetch: "he was carried captive to Babylon by Nabuchodonosor in the fourth year of the reign of Joakim (605 B.C. )", "Daniel continued to prosper through the rest of the reign of Darius, and in that of his successor, Cyrus the Persian", "Nearly all that is known concerning the Prophet Daniel is derived from the book ascribed to him" - all verbatim. The article places the career across the whole captivity, not at the 605 deportation, so a whole-book historical-setting naming one deportation was over-broad. query Dan.10.1 names no first-captivity; query Dan.1.1 still reaches it under narrated-event over Dan.1.1-7 + 2Par.36.6-7 with both event claims intact.	-	Withdrawal correct. The event survives with 2 claims and 2 bindings (superscription-setting Ps.70; narrated-event Dan.1.1-7 2Par.36.6-7). Its event note changed old->HEAD but only to fix a quotation of the Haydock Ps 70:1 chronology - another lane’s case, nothing lost.
FA-002	binding	historical-setting -> israel.exile.seventy-years	RR-065	artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04620a-900282cd	Gigot, "Daniel", CE vol. 4 (1908), the two ends of the career; event israel.exile.seventy-years in events.yaml	PASS	-	admissible: rank 6 in own voice for the setting; the event itself rests on rank 1 (Douay Jer 25:11-12)	Two rows at HEAD: new [Dan] and pre-existing [Ps.136]. The Ps.136 row is byte-identical to 2330d63a5 in relation, event, scope, note and all three sources, and was untouched at every intermediate commit. The event is a duration (70 years, Jer 25:11-12), i.e. a state and not a deportation - which is what a whole-book historical-setting needs. Scope ends exact: Dan.1.1 and Dan.14.42 reach it, Ezech.48.35 and Os.1.1 do not; Ps.136.1 reaches it. Relation right: the note says it asserts the occasion tradition associates with the text, not that every verse narrates it, and the deportation keeps its own narrated-event at Dan.1.1-7.	-	RESIDUAL, recorded not failed: Dan 10:1 stands "in the third year of Cyrus" and Dan 14 is under Cyrus, i.e. after the servitude expired (the event note itself quotes 2 Par 36:21-22, "in the first year of Cyrus"). I enumerated all 26 israel.exile.* events: there is no wider "the Exile" subject to bind instead, and under the Sec.5 definition of historical-setting the assertion is true of the book. Also: the query prints the two mutually exclusive Ps 30 settings (FA-003) both as "preferred" - presentation, not corpus assertion.
FA-003	binding	historical-setting -> israel.monarchy.david-flight-from-absalom	RR-066;PS70;PS70-HISTORY	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-30-traditional-settings; bible:douay-rheims:Ps.30.1	Haydock note at Ps 30:1, artifact PDF page 742 (printed p. 706)	PASS	-	admissible: Haydock 2014 Loreto/Feeney printing = rank 3; transmitted authorities are Calmet, Kimchi, Du Pin, Theodoret, Menochius, Eusebius, Chrysostom - no Ussher, nothing modern-critical	Read page 742 itself, not the record’s context paraphrase. The page prints all five settings and the clause the row quotes - "though some refer this psalm to the conspiracy of Absalom, (Theod. M.)" - character for character. Not promoted to composition: the page’s verb is "composed" but the row takes only the occasion and no composition claim or unit for Ps 30 exists; the page gives no year for the writing. Scope is Ps 30 whole, not the title verse: Ps.30.1 and Ps.30.25 both return both settings, Ps.29.13 and Ps.31.1 neither. query Ps.30.1 returns exactly two historical-setting assertions and neither is preferred over the other (the model carries no binding-level disposition). The row’s claims about Ps 3, Ps 142, Ps 62, Ps 70 and the relative Absalom claim all verified in bindings.yaml/events.yaml. The Ps 62 + Ps 70 row is unchanged from 2330d63a5.	-	The Ps.70 scope entry was really dropped at intermediate commit 8264315f9 and restored at 15213f79c; present at HEAD. A two-endpoint diff nets that out, which is why I traced all six commits. The Ps 30:1 title quotation drops only the tracked terminal full stop.
FA-004	binding	historical-setting -> israel.monarchy.david-in-the-desert-of-maon	-	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-30-traditional-settings; bible:douay-rheims:Ps.30.1	Haydock note at Ps 30:1, artifact PDF page 742 (printed p. 706), the run of five settings	PASS	-	admissible: rank 3, Haydock’s compiler voice transmitting named authorities; the Maon year comes from the separate 1 Kings 23 passage record, as that record requires	Scope unchanged at all six commits; only the note changed. The withdrawn ground was indeed no ground: a binding carries no date (Sec.6) and the corpus holds one Absalom event whose claim is relative and names no marker. The replacement grounds check out against page 742 and not against corpus convenience: "or to the captives. S, Chrys." names no captivity; the flight from court is anchored on the page at "(1 K. xix. 1. and xxvii. 1. C.)" while this corpus holds David-flight events at 1 Kings 21, 23 and 24; "or to the unpremeditated fall of David, (Euseb,)" names no chapter. The five-setting enumeration matches the page exactly. No duplicate sources key: validate exits 0 and a raw scan of all 375 "- relation:" blocks finds exactly one "sources:" in each.	-	The expansion of the siglum "M." to Menochius rests on the passage record’s verified reading of the page image; the page itself prints "(Theod. M.)".
FA-005	binding	narrated-event -> life-of-christ.crucifixion	-	bible:douay-rheims:Matt.27.52; bible:douay-rheims:Matt.27.53	Matthew 27:52-53 in the tracked Douay	CHANGES_REQUIRED	major	not a profile question: the sources (Augustine rank 4, CE rank 6, Douay rank 1) are admissible and correctly used; the defect is scope semantics	Quotation exact: the note’s string equals verses["52"] + " " + verses["53"] with only the final full stop omitted (compared programmatically). But query Matt.27.53 --json returns relation narrated-event, subject life-of-christ.crucifixion, scope "Matt.27.33-54 ...", label "the 14th of Nisan, on a Friday", inherited FALSE - i.e. the corpus directly asserts at Matt 27:53 that the event this verse narrates happened on Good Friday, while the verse dates its own action "after his resurrection". Guidance Sec.9: "A scoped assertion true of every verse in its scope is true of each of them." Naming the difficulty in the note cannot answer it: binding notes and binding sources never reach a consumer (verified - grep of the query JSON for the note’s own strings returns 0; the only note returned is the event claim’s). The note’s defence that cutting would be "this corpus’s division and not the text’s" fails twice: 52 and 53 are separate verses in the tracked text and 53 carries its own temporal marker, and splitting a scope around an interior verse is established practice in this same file (Gen 6:3+6:13-22; Gen 7:12+7:17; Ex 34:1-26+34:29-35; 1Kings 4:1-11+4:19-22; 2Esd 6:1-14+6:17-19).	In src/sources/chronology/bindings.yaml, in the narrated-event -> life-of-christ.crucifixion row, replace the scope entry {book: Matt, chapter: 27, first: 33, last: 54} with the two entries {book: Matt, chapter: 27, first: 33, last: 52} and {book: Matt, chapter: 27, first: 54, last: 54}, so Matt 27:53 is not bound to the Crucifixion; keep the 27:52-53 paragraph, amended to state that 27:53 is excluded, why, and that no event is held for the saints’ entry into the holy city. Matt 27:52 stays bound (the graves opening is narrated among the signs at the death). The only alternative fix is to author an event for the saints’ coming into the holy city and bind 27:53 to it under narrated-event.	Scope, sources and the other seven Passion bindings are untouched since 2330d63a5 and at every intermediate commit; only the note changed. Everything else in the row is sound (Augustine III.11/12/18/22 quotations, the CE "order to break the legs" line, relation, no date on the binding, the Mark/Luke/John ranges).
FA-006	binding	prophecy-given -> israel.divided-kingdom.fall-of-samaria	RR-067	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10278a-734c8637	Van Hoonacker, "Book of Micheas", CE vol. 10 (1911), opening biographical paragraph and "Part two (chapters 4-5)"	PASS	-	admissible: rank 6 in Van Hoonacker’s own voice; he reports and rejects the modern-critical post-exilic dating, and the corpus takes nothing from it	Row ABSENT at HEAD and at all four intermediate commits; a comment block stands in its place, and it is the only difference between bindings.yaml at 214797e78 and at HEAD. Reopened the article (retained extraction + live refetch; the live page is 16195 bytes, exactly this record’s byte_size). Verbatim and in full: the regnal sentence "Jerusalem was the scene of his ministry ... under the Kings Joathan (c. 740-735 B. C.), Achaz (735-727?), and Ezechias (727-698?)" together with "We do not, however, appear to possess any of his addresses prior to the reign of Ezechias."; also the composition sentence with both hedges, "the enemy left Palestine without attacking Jerusalem", and "preserved us an echo of the joy caused in Jerusalem by the removal of the danger". The comment quotes the regnal sentence in full and no wider, and now says the narrower true thing (the article dates no oracle of these chapters to an occasion of utterance) instead of the earlier overstatement. composition.book-of-micheas.chapters-4-5 is unchanged from 2330d63a5 and still carries the sentence with "probably" and "shortly after" intact. query Mich.4.1 = composition-only with exactly one composition line; Mich.5.14 likewise; Mich.6.1 undated-in-tradition.	-	The withdrawal is right on the data, not just in prose: a binding carries no date, so prophecy-given -> fall-of-samaria delivered the fall’s own year to every verse of Mich 4-5 and dropped both hedges at the consumer boundary. The comment openly concedes the asymmetry with the Osee lane (FA-007) and states why it corrects rather than populates; that disclosure is the right disposition.
FA-007	binding	prophecy-given -> israel.divided-kingdom.osee-ministry	RR-068	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11337a-2a862b12	Calès, "Osee", CE vol. 11 (1911), section "Time of his ministry"; whole article read	PASS	-	admissible: rank 6, Calès in his own voice; his one modern citation (Harper) he labels "a commentary of Liberal tendencies" and does not follow; no figure of Tiglath-Pileser or Manahem is taken as a date here	Read the whole article end to end (retained extraction + live refetch). All four strings the event and the two bindings quote are verbatim. THE ARTICLE DATES THE WRITING NOWHERE: "The book of Osee" treats canonical position and structure, "Style and text" treats interpolations and rejects the Messianic excision as "purely arbitrary", and the only time-word about the book is "In point of time Amos preceded it" - a precedence with no anchor and no year, not a composition date. So no real composition date was thrown away; the withdrawn unit’s two ranges are the ministry’s and are preserved intact on the new event, and the withdrawn unit’s own preferred note already conceded the article "does not treat the writing or compilation of the book separately". No composition unit for Osee survives (grep + the recorded comment in composition.yaml). Scope ends exact: Os.1.1 and Os.14.10 reach it, Dan.14.42 and Joel.1.1 do not. Relation right: prophecy-given = when the oracle was uttered, and the article dates no oracle separately, so every oracle is reached by the ministry and by nothing narrower.	-	The new event israel.divided-kingdom.osee-ministry is the only event added old->HEAD that this lane touches; composition.book-of-osee is one of two units removed. Both movements are recorded in composition.yaml prose at the osee lane.
FA-008	binding	prophetic-referent -> life-of-christ.nativity	RR-069	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10278a-734c8637; artifact.eusebius.ecclesiastical-history.english-mcgiffert-npnf2-1-newadvent-web-2026-07-27.newadvent-250101-422405e9	Van Hoonacker, "Book of Micheas", "Part two (chapters 4-5)"; Eusebius, Church History I.5.2; Douay Mich 5:2-3 and Matt 2:4-6	PASS	-	admissible: CE rank 6, Eusebius rank 4, Douay rank 1; the article’s own voice for the Messianic king, St Matthew as the rank-1 identifying witness	query Mich.5.2 and Mich.5.3 each return exactly two prophetic-referent lines ("the year of Rome 750 which he styles 3 B.C." and "probably the year 7 B.C.", both disputed), once each, and the two loci agree line for line; Mich.5.1 and Mich.5.4 are composition-only, so the ends are exact. Field-by-field diff of the deleted row against the survivor: the Eusebius identification is carried over verbatim (reopened I.5.2 and it reads exactly so), the Eusebius artifact is now in sources, Matt.2.5 and Matt.2.6 are retained, and the deleted row’s numbering point survives in substance on two other witnesses while the scope is fixed from the tracked Douay. The two artifact ids are two retrievals of one article (same source_url and citation; 16554 vs 16195 bytes; the live page today is 16195), and the survivor cites the current one. Scope Mich.5.2-3 is right against the tracked Douay: "And thou Bethlehem Ephrata" at 5:2 and the article’s quoted clause "till the time wherein she that travaileth shall bring forth" at 5:3. Relation right - the note opens "NOT narrated-event". The other five nativity rows are untouched at every commit.	-	OBSERVATION, pre-existing and not this fold’s defect: the surviving note quotes two things the row does not cite - the CE "Bethlehem" article ("Mich., v, 2 (1)"), which is registered nowhere under src/sources/works (CE vol. 2 holds only 02214b and 02319c), and Matt 2:4, where sources names only Matt 2:5 and 2:6. Both residues stand at 2330d63a5. The assertion itself is properly sourced under Sec.11. Worth one provenance sweep.
FA-009	binding	retrospective-event -> israel.wilderness.manna	-	bible:douay-rheims:Ps.77.24	Psalm 77:24 in the tracked Douay (Hebrew 78:24)	PASS	-	not a profile question; the source is the tracked Douay itself, rank 1	Re-read at source: verses["24"] = "And had rained down manna upon them to eat, and had given them the bread of heaven." HEAD quotes "And had rained down manna upon them to eat" - an exact clause-boundary partial quotation. 2330d63a5 read "He had rained down manna upon them to eat", which is not the tracked text. The correction is right and complete. The sibling row’s Deut 8:16 quotation is also exact. Relation still retrospective-event (verified live at Ps.104.40), and Sec.5 is honoured by the separate narrated-event row over Ex 16:1-36 that the note points at. Scope unchanged at all six commits and exact at all ten boundaries: Ps.77.23/25 in, 22/26 out; Ps.104.40 in, 39/41 out; Deut.8.3 in, 8.2/8.4 out; 2Esd.9.15 in, 9.14/9.16 out; 2Esd.9.20 in, 9.19/9.21 out. Deut 8:16 reaches the event by its own unchanged row. Every bound verse really recalls the manna.	-	OBSERVATION: the row’s sources name only Ps.77.24 and Deut.8.3 though the scope also asserts the recital at Ps.104.40, 2Esd.9.15 and 2Esd.9.20. Those loci are self-evidencing Scripture and the assertion is sourced under Sec.11, so this is tidiness, not a defect.
FA-010	binding	superscription-setting -> israel.divided-kingdom.osee-ministry	RR-070	bible:douay-rheims:Os.1.1; artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11337a-2a862b12	Osee 1:1 in the tracked Douay; Calès, "Osee", CE vol. 11 (1911), "Time of his ministry"	PASS	-	admissible: Douay rank 1 for the title, CE rank 6 for its reading and its refusal; Sec.8 respected - the title is evidence of an occasion, never promoted to a year	The row carries no date key (the loader refuses one; validate passes); the dates on the query lines are the event’s. Quotation verbatim including the terminal stop: "The word of the Lord, that came to Osee, the son of Beeri, in the days of Ozias, Joathan, Achaz, and Ezechias, kings of Juda, and in the days of Jeroboam, the son of Joas, king of Israel." The article both reads the title as a range and declines it, both verbatim ("hence from about 750 to 725 B.C." / "The title, however, is not quite satisfactory and does not seem to be the original one"), and the event holds that title-derived range as ALTERNATE with the writings-derived "about 750-735" as PREFERRED, with a note giving the reason as Sec.4.4 requires when both claims share one rank. This is the opposite of the Ps 21 failure mode. Scope: the title verse alone - Os.1.1 carries it, Os.1.2 does not.	-	The title-verse-only scope is narrower than the psalter convention (whole psalm) but right here: the whole book already reaches the same event through the prophecy-given row, so a wider superscription scope would print the same two claims twice over all 198 verses. Two DIFFERENT relations meeting at Os 1:1 is intended by Sec.8, not duplication.
