book	chapter	verse	text
Ps	1	1	Blessed is the man who hath not walked in the counsel of the ungodly, nor stood in the way of sinners, nor sat in the chair of pestilence:
Ps	1	2	But his will is in the law of the Lord, and on his law he shall meditate day and night.
Ps	1	3	And he shall be like a tree which is planted near the running waters, which shall bring forth its fruit, in due season. And his leaf shall not fall off: and all whatsoever he shall do shall prosper.
Ps	1	4	Not so the wicked, not so: but like the dust, which the wind driveth from the face of the earth.
Ps	1	5	Therefore the wicked shall not rise again in judgment: nor sinners in the council of the just.
Ps	1	6	For the Lord knoweth the way of the just: and the way of the wicked shall perish.
Ps	2	1	Why have the Gentiles raged, and the people devised vain things?
Ps	2	2	The kings of the earth stood up, and the princes met together, against the Lord, and against his Christ.
Ps	2	3	Let us break their bonds asunder: and let us cast away their yoke from us.
Ps	2	4	He that dwelleth in heaven shall laugh at them: and the Lord shall deride them.
Ps	2	5	Then shall he speak to them in his anger, and trouble them in his rage.
Ps	2	6	But I am appointed king by him over Sion, his holy mountain, preaching his commandment.
Ps	2	7	The Lord hath said to me: Thou art my son, this day have I begotten thee.
Ps	2	8	Ask of me, and I will give thee the Gentiles for thy inheritance, and the utmost parts of the earth for thy possession.
Ps	2	9	Thou shalt rule them with a rod of iron, and shalt break them in pieces like a potter’s vessel.
Ps	2	10	And now, O ye kings, understand: receive instruction, you that judge the earth.
Ps	2	11	Serve ye the Lord with fear: and rejoice unto him with trembling.
Ps	2	12	Embrace discipline, lest at any time the Lord be angry, and you perish from the just way.
Ps	2	13	When his wrath shall be kindled in a short time, blessed are all they that trust in him.
Ps	3	1	The psalm of David when he fled from the face of his son Absalom.
Ps	3	2	Why, O Lord, are they multipied that afflict me? many are they who rise up against me.
Ps	3	3	Many say to my soul: There is no salvation for him in his God.
Ps	3	4	But thou, O Lord, art my protector, my glory, and the lifter up of my head.
Ps	3	5	I have cried to the Lord with my voice: and he hath heard me from his holy hill.
Ps	3	6	I have slept and have taken my rest: and I have risen up, because the Lord hath protected me.
Ps	3	7	I will not fear thousands of the people surrounding me: arise, O Lord; save me, O my God.
Ps	3	8	For thou hast struck all them who are my adversaries without cause: thou hast broken the teeth of sinners.
Ps	3	9	Salvation is of the Lord: and thy blessing is upon thy people.
Ps	4	1	Unto the end, in verses. A psalm for David.
Ps	4	2	When I called upon him, the God of my justice heard me: when I was in distress, thou hast enlarged me. Have mercy on me: and hear my prayer.
Ps	4	3	O ye sons of men, how long will you be dull of heart? why do you love vanity, and seek after lying?
Ps	4	4	Know ye also that the Lord hath made his holy one wonderful: the Lord will hear me when I shall cry unto him.
Ps	4	5	Be ye angry, and sin not: the things you say in your hearts, be sorry for them upon your beds.
Ps	4	6	Offer up the sacrifice of justice, and trust in the Lord: many say, Who sheweth us good things?
Ps	4	7	The light of thy countenance, O Lord, is signed upon us: thou hast given gladness in my heart.
Ps	4	8	By the fruit of their corn, their wine, and oil, they are multiplied.
Ps	4	9	In peace in the self same I will sleep, and I will rest:
Ps	4	10	For thou, O Lord, singularly hast settled me in hope.
Ps	5	1	Unto the end, for her that obtaineth the inheritance. A psalm for David.
Ps	5	2	Give ear, O Lord, to my words, understand my cry.
Ps	5	3	Hearken to the voice of my prayer, O my King and my God.
Ps	5	4	For to thee will I pray: O Lord, in the morning thou shalt hear my voice.
Ps	5	5	In the morning I will stand before thee, and I will see: because thou art not a God that willest iniquity.
Ps	5	6	Neither shall the wicked dwell near thee: nor shall the unjust abide before thy eyes.
Ps	5	7	Thou hatest all the workers of iniquity: thou wilt destroy all that speak a lie. The bloody and the deceitful man the Lord will abhor.
Ps	5	8	But as for me in the multitude of thy mercy, I will come into thy house; I will worship towards thy holy temple, in thy fear.
Ps	5	9	Conduct me, O Lord, in thy justice: because of my enemies, direct my way in thy sight.
Ps	5	10	For there is no truth in their mouth: their heart is vain.
Ps	5	11	Their throat is an open sepulchre: they dealt deceitfully with their tongues: judge them, O God. Let them fall from their devices: according to the multitude of their wickednesses cast them out: for they have provoked thee, O Lord.
Ps	5	12	But let all them be glad that hope in thee: they shall rejoice for ever, and thou shalt dwell in them. And all they that love thy name shall glory in thee.
Ps	5	13	For thou wilt bless the just. O Lord, thou hast crowned us, as with a shield of thy good will.
Ps	6	1	Unto the end, in verses, a psalm for David, for the octave.
Ps	6	2	O Lord, rebuke me not in thy indignation, nor chastise me in thy wrath.
Ps	6	3	Have mercy on me, O Lord, for I am weak: heal me, O Lord, for my bones are troubled.
Ps	6	4	And my soul is troubled exceedingly: but thou, O Lord, how long?
Ps	6	5	Turn to me, O Lord, and deliver my soul: O save me for thy mercy’s sake.
Ps	6	6	For there is no one in death, that is mindful of thee: and who shall confess to thee in hell?
Ps	6	7	I have laboured in my groanings, every night I will wash my bed: I will water my couch with my tears.
Ps	6	8	My eye is troubled through indignation: I have grown old amongst all my enemies.
Ps	6	9	Depart from me, all ye workers of iniquity: for the Lord hath heard the voice of my weeping.
Ps	6	10	The Lord hath heard my supplication: the Lord hath received my prayer.
Ps	6	11	Let all my enemies be ashamed, and be very much troubled: let them be turned back, and be ashamed very speedily.
Ps	7	1	The psalm of David, which he sung to the Lord, for the words of Chusi, the son of Jemini.
Ps	7	2	O Lord, my God, in thee have I put my trust; save me from all them that persecute me, and deliver me.
Ps	7	3	Lest at any time he seize upon my soul like a lion, while there is no one to redeem me, nor to save.
Ps	7	4	O Lord, my God, if I have done this thing, if there be iniquity in my hands:
Ps	7	5	If I have rendered to them that repaid me evils, let me deservedly fall empty before my enemies.
Ps	7	6	Let the enemy pursue my soul, and take it, and tread down my life, on the earth, and bring down my glory to the dust.
Ps	7	7	Rise up, O Lord, in thy anger: and be thou exalted in the borders of my enemies. And arise, O Lord, my God, in the precept which thou hast commanded:
Ps	7	8	And a congregation of people shall surround thee. And for their sakes return thou on high.
Ps	7	9	The Lord judgeth the people. Judge me, O Lord, according to my justice, and according to my innocence in me.
Ps	7	10	The wickedness of sinners shall be brought to nought; and thou shalt direct the just: the searcher of hearts and reins is God.
Ps	7	11	Just is my help from the Lord; who saveth the upright of heart.
Ps	7	12	God is a just judge, strong and patient: is he angry every day?
Ps	7	13	Except you will be converted, he will brandish his sword; he hath bent his bow, and made it ready.
Ps	7	14	And in it he hath prepared the instruments of death, he hath made ready his arrows for them that burn.
Ps	7	15	Behold he hath been in labour with injustice: he hath conceived sorrow, and brought forth iniquity.
Ps	7	16	He hath opened a pit and dug it: and he is fallen into the hole he made.
Ps	7	17	His sorrow shall be turned on his own head: and his iniquity shall come down upon his crown.
Ps	7	18	I will give glory to the Lord according to his justice: and will sing to the name of the Lord the most high.
Ps	8	1	Unto the end, for the presses: a psalm for David.
Ps	8	2	O Lord, our Lord, how admirable is thy name in the whole earth! For thy magnificence is elevated above the heavens.
Ps	8	3	Out of the mouth of infants and of sucklings thou hast perfected praise, because of thy enemies, that thou mayst destroy the enemy and the avenger.
Ps	8	4	For I will behold thy heavens, the works of thy fingers: the moon and the stars which thou hast founded.
Ps	8	5	What is man, that thou art mindful of him? or the son of man, that thou visitest him?
Ps	8	6	Thou hast made him a little less than the angels, thou hast crowned him with glory and honour:
Ps	8	7	And hast set him over the works of thy hands.
Ps	8	8	Thou hast subjected all things under his feet, all sheep and oxen: moreover, the beasts also of the fields.
Ps	8	9	The birds of the air, and the fishes of the sea, that pass through the paths of the sea.
Ps	8	10	O Lord, our Lord, how admirable is thy name in the whole earth!
Ps	9	1	Unto the end, for the hidden things of the Son. A psalm for David.
Ps	9	2	I will give praise to thee, O Lord, with my whole heart: I will relate all thy wonders.
Ps	9	3	I will be glad, and rejoice in thee: I will sing to thy name, O thou most high.
Ps	9	4	When my enemy shall be turned back: they shall be weakened, and perish before thy face.
Ps	9	5	For thou hast maintained my judgment and my cause: thou hast sat on the throne, who judgest justice.
Ps	9	6	Thou hast rebuked the Gentiles, and the wicked one hath perished; thou hast blotted out their name for ever and ever.
Ps	9	7	The swords of the enemy have failed unto the end: and their cities thou hast destroyed. Their memory hath perished with a noise:
Ps	9	8	But the Lord remaineth for ever. He hath prepared his throne in judgment:
Ps	9	9	And he shall judge the world in equity, he shall judge the people in justice.
Ps	9	10	And the Lord is become a refuge for the poor: a helper in due time in tribulation.
Ps	9	11	And let them trust in thee who know thy name: for thou hast not forsaken them that seek thee, O Lord.
Ps	9	12	Sing ye to the Lord, who dwelleth in Sion: declare his ways among the Gentiles:
Ps	9	13	For requiring their blood, he hath remembered them: he hath not forgotten the cry of the poor.
Ps	9	14	Have mercy on me, O Lord: see my humiliation which I suffer from my enemies.
Ps	9	15	Thou that liftest me up from the gates of death, that I may declare all thy praises in the gates of the daughter of Sion.
Ps	9	16	I will rejoice in thy salvation: the Gentiles have stuck fast in the destruction which they prepared. Their foot hath been taken in the very snare which they hid.
Ps	9	17	The Lord shall be known when he executeth judgments: the sinner hath been caught in the works of his own hands.
Ps	9	18	The wicked shall be turned into hell, all the nations that forget God.
Ps	9	19	For the poor man shall not be forgotten to the end: the patience of the poor shall not perish for ever.
Ps	9	20	Arise, O Lord, let not man be strengthened: let the Gentiles be judged in thy sight.
Ps	9	21	Appoint, O Lord, a lawgiver over them: that the Gentiles may know themselves to be but men.
Ps	9	22	Why, O Lord, hast thou retired afar off? why dost thou slight us in our wants, in the time of trouble?
Ps	9	23	Whilst the wicked man is proud, the poor is set on fire: they are caught in the counsels which they devise.
Ps	9	24	For the sinner is praised in the desires of his soul: and the unjust man is blessed.
Ps	9	25	The sinner hath provoked the Lord, according to the multitude of his wrath, he will not seek him:
Ps	9	26	God is not before his eyes: his ways are filthy at all times. Thy judgments are removed from his sight: he shall rule over all his enemies.
Ps	9	27	For he hath said in his heart: I shall not be moved from generation to generation, and shall be without evil.
Ps	9	28	His mouth is full of cursing, and of bitterness, and of deceit: under his tongue are labour and sorrow.
Ps	9	29	He sitteth in ambush with the rich, in private places, that he may kill the innocent.
Ps	9	30	His eyes are upon the poor man: he lieth in wait, in secret, like a lion in his den. He lieth in ambush, that he may catch the poor man: so catch the poor, whilst he draweth him to him.
Ps	9	31	In his net he will bring him down, he will crouch and fall, when he shall have power over the poor.
Ps	9	32	For he hath said in his heart: God hath forgotten, he hath turned away his face, not to see to the end.
Ps	9	33	Arise, O Lord God, let thy hand be exalted: forget not the poor.
Ps	9	34	Wherefore hath the wicked provoked God? for he hath said in his heart: He will not require it.
Ps	9	35	Thou seest it, for thou considerest labour and sorrow: that thou mayst deliver them into thy hands. To thee is the poor man left: thou wilt be a helper to the orphan.
Ps	9	36	Break thou the arm of the sinner and of the malignant: his sin shall be sought, and shall not be found.
Ps	9	37	The Lord shall reign to eternity, yea, for ever and ever: ye Gentiles shall perish from his land.
Ps	9	38	The Lord hath heard the desire of the poor: thy ear hath heard the preparation of their heart.
Ps	9	39	To judge for the fatherless and for the humble, that man may no more presume to magnify himself upon earth.
