# Profile-contract cold-review manifest for the Scripture chronology corpus.
#
# The complete review surface for a GENUINELY COLD review of the
# profile-contract correction lane: a new agent or session that performed
# none of the population, none of the audits, and none of these corrections.
# Every row is reviewed. Nothing is sampled and nothing is hand-picked.
#
# Derived by diffing the corpus at c1dee9fc0ddfea3ea06d951c7ad25d05b75b0341 -- loaded by ITS OWN loader --
# against the WORKING TREE loaded by the loader in it, as OBJECTS, so a
# reformat cannot hide a change; then unioned with four whole-population
# queries over the head corpus (every claim citing Howlett, every claim citing
# Sloet, every claim naming a reporting exception, every preserved claim, and
# every claim still carrying basis_class `unreviewed`), and with the five
# blockers by id and the contract and gate files by path, and with every gap
# row added, withdrawn or reworded, which is what a verse answers with once the
# last answerable claim standing over it has been preserved.
#
# Deduplicated on case_type + ':' + case_id. `why_in_review` keeps EVERY
# reason that reached a row, so a case that four clauses of the brief reach
# is one row that says so four times rather than four rows saying it once.
#
# Regenerate with `python3 scripts/build_profile_contract_manifest.py`, and ask
# whether it has drifted with the same command and `--check`. BOTH derive
# against the base PINNED IN THE BUILDER as `BASE_REVISION`, and NEITHER reads
# the base out of the line above. Until 2026-09-02 write mode defaulted to HEAD,
# so a cold reviewer who ran the command printed here in a clean clone rebased
# this surface onto HEAD and collapsed it from 475 rows to 95 -- and `--check`,
# which took its base from this file's own header, then reported the collapse as
# current. Both halves are fixed; the command above is safe to run.
#
# `--base REV` still exists, for a one-off comparison against some other
# revision. What it produces is a DIFFERENT artifact and is not this one, and
# `--check` will say so.
# Rows: 480.
review_id	case_type	case_id	changed_in_lane	change	answerability_change	basis_class	answerability	disposition	source_record	prior_review_ids	why_in_review
PC-001	binding	narrated-event -> life-of-christ.crucifixion	yes	scope-changed	-	-	-	-	-	FA-005;FA-133;LEAD-016;MF-4	the binding's scope, note or sources changed in this lane | BLOCKER 4 -- Matt 27:53: a verse whose own words date its action after the Resurrection, answered with seven Crucifixion dates, every one marked direct
PC-002	claim	event:apostolic-age.accession-of-vespasian#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-003	claim	event:apostolic-age.arrest-of-saint-paul-at-jerusalem#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-004	claim	event:apostolic-age.arrest-of-saint-paul-at-jerusalem#1	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-005	claim	event:apostolic-age.arrival-of-cestius-gallus-at-jerusalem#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-006	claim	event:apostolic-age.arrival-of-saint-peter-at-rome#0	yes	changed:basis_class	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1	-	the claim's own stored state changed in this lane
PC-007	claim	event:apostolic-age.arrival-of-saint-peter-at-rome#1	yes	changed:basis_class	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1	-	the claim's own stored state changed in this lane
PC-008	claim	event:apostolic-age.burning-of-the-temple#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-009	claim	event:apostolic-age.conversion-of-saint-paul#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-010	claim	event:apostolic-age.conversion-of-saint-paul#1	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
