book	chapter	verse	text	usfm
EsthGr	10	4	Then Mardocheus said, These things are of God.	ESG
EsthGr	10	5	For I remember the dream which I saw concerning these matters, and nothing thereof hath failed.	ESG
EsthGr	10	6	As for the little fountain that became a river, and there was light, and the sun, and much water, the river is Esther, whom the king married, and made queen:	ESG
EsthGr	10	7	and the two dragons are I and Aman:	ESG
EsthGr	10	8	and the nations are those that were assembled to destroy the name of the Jews:	ESG
EsthGr	10	9	and my nation, this is Israel, which cried to God, and were saved: for the Lord hath saved his people, and the Lord hath delivered us from all these evils, and God hath wrought signs and great wonders, which have not been done among the nations.	ESG
EsthGr	10	10	Therefore hath he made two lots, one for the people of God, and another for all the nations.	ESG
EsthGr	10	11	And these two lots came at the hour, and time, and day of judgement, before God among all the nations.	ESG
EsthGr	10	12	So God remembered his people, and justified his inheritance.	ESG
EsthGr	10	13	Therefore these days shall be unto them in the month Adar, the fourteenth and fifteenth day of the month, with an assembly, and joy, and with gladness before God, throughout the generations for ever among his people Israel.	ESG
EsthGr	11	1	In the fourth year of the reign of Ptolemy and Cleopatra, Dositheus, who said he was a priest and Levite, and Ptolemy his son, brought the epistle of Phrurai here set forth, which they said was the same, and that Lysimachus the son of Ptolemy, that was in Jerusalem, had interpreted it.	ESG
EsthGr	11	2	In the second year of the reign of Artaxerxes the great, in the first day of the month Nisan, Mardocheus the son of Jairus, the son of Semeias, the son of Kiseus, of the tribe of Benjamin, had a dream;	ESG
EsthGr	11	3	who was a Jew, and dwelt in the city of Susa, a great man, being a servitor in the king’s court;	ESG
EsthGr	11	4	and he was of the captivity, which Nabuchodonosor the king of Babylon carried from Jerusalem with Jechonias king of Judaea; and this was his dream:	ESG
EsthGr	11	5	Behold, noise and tumult, thunderings and earthquake, and uproar upon the earth:	ESG
EsthGr	11	6	and, behold, two great dragons came forth, both of them ready to fight, and their cry was great.	ESG
EsthGr	11	7	And at their cry all nations were ready to battle, that they might fight against the righteous nation.	ESG
EsthGr	11	8	And, lo, a day of darkness and gloominess, tribulation and anguish, affliction and great uproar upon the earth.	ESG
EsthGr	11	9	And the whole righteous nation was troubled, fearing the evils that should befall them, and were ready to perish.	ESG
EsthGr	11	10	Then they cried unto God, and upon their cry, as it were from a little fountain, there came a great river, even much water.	ESG
EsthGr	11	11	The light and the sun rose up, and the lowly were exalted, and devoured the glorious.	ESG
EsthGr	11	12	Now when Mardocheus, who had seen this dream, and what God had determined to do, was awake, he bare it in mind, and until night by all means was desirous to know it.	ESG
EsthGr	12	1	And Mardocheus took his rest in the court with Gabatha and Tharra, the two eunuchs of the king, that were keepers of the court.	ESG
EsthGr	12	2	And he heard their communings, and searched out their purposes, and learned that they were about to lay hands upon Artaxerxes the king; and he certified the king of them.	ESG
EsthGr	12	3	Then the king examined the two eunuchs, and after that they had confessed it, they were led to execution.	ESG
EsthGr	12	4	And the king wrote these things for a memorial; Mardocheus also wrote concerning these things.	ESG
EsthGr	12	5	So the king commanded Mardocheus to serve in the court, and for this he gave him gifts.	ESG
EsthGr	12	6	Howbeit Aman the son of Amadathus, a Bugean, who was in great honour with the king, sought to molest Mardocheus and his people because of the two eunuchs of the king.	ESG
EsthGr	13	1	Now this is the copy of the letter: The great king Artaxerxes writeth these things to the princes of a hundred and seven and twenty provinces from India unto Ethiopia, and to the governors that are set under them.	ESG
EsthGr	13	2	After that I became lord over many nations, and had dominion over the whole world, not lifted up with presumption of my authority, but carrying myself alway with equity and mildness, I purposed to settle my subjects continually in a quiet life, and making my kingdom peaceable, and open for passage to the utmost coasts, to renew peace, which is desired of all men.	ESG
EsthGr	13	3	Now when I asked my counsellors how this might be brought to pass, Aman, that excelled in wisdom among us, and was approved for his constant good will and stedfast fidelity, and had the honour of the second place in the kingdom,	ESG
EsthGr	13	4	declared unto us, that in all nations throughout the world there was scattered a certain malignant people, that had laws contrary to all nations, and continually set aside the commandments of kings, so as the uniting of our kingdoms, honourably intended by us, cannot go forward.	ESG
EsthGr	13	5	Seeing then we understand that this nation is alone continually in opposition unto all men, following perversely a life which is strange to our laws, and evil affected to our state, working all the mischief they can, that our kingdom may not be firmly stablished:	ESG
EsthGr	13	6	therefore have we commanded, that they that are signified in writing unto you by Aman, who is ordained over the affairs, and is a second father unto us, shall all, with their wives and children, be utterly destroyed by the sword of their enemies, without all mercy and pity, the fourteenth day of the twelfth month Adar of this present year:	ESG
EsthGr	13	7	that they, who of old and now also are malicious, may in one day with violence go down to the grave, and so ever hereafter cause our affairs to be well settled, and without trouble.	ESG
EsthGr	13	8	Then Mardocheus made his prayer unto the Lord, calling to remembrance all the works of the Lord,	ESG
EsthGr	13	9	and said, O Lord, Lord, thou King Almighty: for the whole world is in thy power, and if it be thy will to save Israel, there is no man that can gainsay thee:	ESG
EsthGr	13	10	for thou hast made heaven and earth, and all the wondrous things that are beneath the heaven;	ESG
EsthGr	13	11	and thou art Lord of all, and there is no man that can resist thee, which art the Lord.	ESG
EsthGr	13	12	Thou knowest all things, and thou knowest, Lord, that it was neither in contempt nor pride, nor for any desire of glory, that I did not bow down to proud Aman.	ESG
EsthGr	13	13	For I could have been content with good will for the salvation of Israel to kiss the soles of his feet.	ESG
EsthGr	13	14	But I did this, that I might not prefer the glory of man above the glory of God: neither will I bow down unto any but to thee, which art my Lord, neither will I do it in pride.	ESG
EsthGr	13	15	And now, O Lord, thou God and King, the God of Abraham, spare thy people: for their eyes are upon us to bring us to nought, and they desire to destroy the heritage, that hath been thine from the beginning.	ESG
EsthGr	13	16	Despise not thy portion, which thou didst redeem out of the land of Egypt for thine own self.	ESG
EsthGr	13	17	Hear my prayer, and be merciful unto thine inheritance: and turn our mourning into feasting, that we may live, O Lord, and sing praises to thy name: and destroy not the mouth of them that praise thee, O Lord.	ESG
EsthGr	13	18	And all Israel cried out mightily, because their death was before their eyes.	ESG
EsthGr	14	1	Queen Esther also, being seized as it were with the agony of death, resorted unto the Lord:	ESG
EsthGr	14	2	and laid away her glorious apparel, and put on the garments of anguish and mourning: and instead of the most excellent ointments, she covered her head with ashes and dung, and she humbled her body greatly, and all the places of the ornaments of her joy she covered with her tangled hair.	ESG
EsthGr	14	3	And she prayed unto the Lord, the God of Israel, saying, O my Lord, thou only art our King: help me that am desolate and have no other helper but thee:	ESG
EsthGr	14	4	for my danger is in mine hand.	ESG
EsthGr	14	5	From my youth up I have heard in the tribe of my family, that thou, O Lord, tookest Israel from among all the nations, and our fathers from all their progenitors, for a perpetual inheritance, and didst perform for them whatsoever thou didst promise.	ESG
EsthGr	14	6	And now we have sinned before thee, and thou hast given us into the hands of our enemies,	ESG
EsthGr	14	7	because we glorified their gods: O Lord, thou art righteous.	ESG
EsthGr	14	8	Nevertheless it satisfieth them not, that we are in bitter captivity: but they have stricken hands with their idols,	ESG
EsthGr	14	9	that they will abolish the thing that thou with thy mouth hast ordained, and destroy thine inheritance, and stop the mouth of them that praise thee, and quench the glory of thy house, and thine altar,	ESG
EsthGr	14	10	and open the mouths of the heathen to set forth the virtues of idols, and that a fleshly king shall be magnified for ever.	ESG
EsthGr	14	11	O Lord, give not thy sceptre unto them that be nothing, and let them not laugh at our fall; but turn their device upon themselves, and make him an example, that hath begun this against us.	ESG
EsthGr	14	12	Remember, O Lord, make thyself known in the time of our affliction, and give me boldness, O King of the gods, and holder of all dominion.	ESG
EsthGr	14	13	Give me eloquent speech in my mouth before the lion: and turn his heart to hate him that fighteth against us, that there may be an end of him, and of them that are likeminded with him:	ESG
EsthGr	14	14	but deliver us with thine hand, and help me that am desolate and have no other helper but thee, O Lord.	ESG
EsthGr	14	15	Thou hast knowledge of all things; and thou knowest that I hate the glory of the wicked, and abhor the bed of the uncircumcised, and of every alien.	ESG
EsthGr	14	16	Thou knowest my necessity: that I abhor the sign of my high estate, which is upon mine head in the days wherein I shew myself. I abhor it as a menstruous rag, and I wear it not when I am private by myself.	ESG
EsthGr	14	17	And thine handmaid hath not eaten at Aman’s table, neither have I honoured the king’s feast, nor drunk the wine of the drink offerings.	ESG
EsthGr	14	18	Neither had thine handmaid any joy since the day that I was brought hither to this present, but in thee, O Lord, thou God of Abraham.	ESG
EsthGr	14	19	O God, that art mighty above all, hear the voice of the forlorn, and deliver us out of the hands of the mischievous, and deliver me out of my fear.	ESG
EsthGr	15	1	And upon the third day, when she had ended her prayer, she laid away her garments of service, and put on her glorious apparel.	ESG
